feature	coef	n
1	add_11	15.1005378090462	75
2	add_13	5.82242281434125	45
3	add_21	4.51661081515546	47
4	add_22	-25.518423849756	85
5	add_8	3.19725826245583	45
6	ahd	-42.5264364501497	100
7	ASXL1	6.60778091581695	64
8	BCOR	0.99081230802401	44
9	bm_blasts	0.0871836740841594	67
10	CBL	5.87825352190662	46
11	CEBPA_bi	-4.30935561107719	26
12	CEBPA_mono	-0.898998140601886	43
13	complex	-0.295349003319138	4
14	del_12	2.19362960474971	45
15	del_13	-29.954321188102	94
16	del_16	-1.29351250709117	52
17	del_17	16.991009383545	71
18	del_18	-18.7086419564156	72
19	del_20	3.42626891317354	52
20	del_3	-0.483709746203891	34
21	del_5	14.8412670594151	76
22	del_7	12.3559851309371	77
23	del_9	7.24393612489944	48
24	DNMT3A	12.4600305844834	90
25	eln_2017_ratio	-26.8014088543632	100
26	EZH2	12.1819066140886	71
27	final_component_additions	-29.7375942376267	89
28	final_component_BAGE3_KMT2C	-14.0228584838801	55
29	final_component_CEBPA_bi	-3.28570422168993	22
30	final_component_chr_splicing_1	-3.94242587623466	41
31	final_component_chr_splicing_multiple	23.9976253809633	95
32	final_component_DNMT3A_IDH1_2	-5.59352115682862	39
33	final_component_inv_3	51.5739839102041	91
34	final_component_KIT_NRAS	0.813329801630579	31
35	final_component_not_assigned	-13.4831228907392	81
36	final_component_NPM1	-0.0392687574463153	6
37	final_component_t_11	0.0731439584858954	31
38	final_component_t_15_17	-96.0967399215657	97
39	final_component_t_8_21	-11.2971158173553	56
40	final_component_TP53_complex	54.2061897442524	100
41	final_component_WT1_t_6_9_ITD	17.7910571123495	80
42	FLT3_other	0.8060249014172	36
43	FLT3_TKD	-0.973962841577021	43
44	GATA2	-8.49965354964832	57
45	gender	0.987215922160204	43
46	hb	-0.0250838751688563	46
47	IDH1	0.417653219011919	42
48	IDH2_p.R140	8.51338016607305	72
49	IDH2_p.R172	-19.1461937052117	77
50	ITD	8.86514169751532	78
51	KIT	-10.968290210147	53
52	KRAS	0.954416094639356	44
53	minusy	2.72615796698168	44
54	MLL	2.57892921904522	39
55	MYC	-10.2078242014162	54
56	NF1	-4.95263328473873	53
57	NPM1	-0.0375135475412782	5
58	NRAS_p.G12_13	-0.807280399954876	47
59	NRAS_p.Q61_62	10.7268185004035	65
60	others_transloc	9.33366676516104	56
61	perf_status	25.1061009977723	100
62	PHF6	-0.114277424247013	38
63	plt	-0.024663908335182	61
64	PTPN11	-14.7059408817657	81
65	RAD21	-7.10298379489862	55
66	RUNX1	-2.05568196220527	36
67	secondary	9.33276204199297	95
68	SF3B1	18.3209738301286	83
69	SMC1A	14.5452823400739	69
70	SMC3	1.33963123747633	37
71	SRSF2	13.3979498874062	95
72	STAG2	-0.227614653204824	36
73	t_8_21	-38.1674997919411	96
74	t_v_11	-2.18010597647542	34
75	TET2	18.9640988051221	96
76	TP53	55.8713866747034	100
77	U2AF1_p.S34	12.355707141737	68
78	wbc	0.184725538193788	100
79	WT1	13.8131095052971	83
