feature	coef	n
1	ASXL1	17.6177257453152	100
2	BCOR	-3.71450072275921	100
3	CBL	7.93866056702986	100
4	CEBPA_bi	-8.049764776657	100
5	CEBPA_mono	-6.46771045221293	100
6	DNMT3A	16.2632440908155	100
7	EZH2	15.883635137239	100
8	FLT3_TKD	-0.57467389780394	100
9	FLT3_other	4.13774673712734	100
10	GATA2	-21.821990078432	100
11	IDH1	-1.00049538649924	100
12	IDH2_p.R140	-1.22395070978844	100
13	IDH2_p.R172	-37.475904269407	100
14	ITD	29.1249048481905	100
15	KIT	-4.7397153154761	100
16	KRAS	11.8171205296181	100
17	MLL	10.6065055157448	100
18	MYC	-9.0028230161381	100
19	NF1	9.833998976958	100
20	NPM1	-7.4216655836842	100
21	NRAS_p.G12_13	10.9746241960679	100
22	NRAS_p.Q61_62	30.5533063595264	100
23	PHF6	-3.32858386342076	100
24	PTPN11	-20.8094874176738	100
25	RAD21	-9.56595434798063	100
26	RUNX1	-10.7617329066068	100
27	SF3B1	6.36788638317236	100
28	SMC1A	16.3818327980328	100
29	SMC3	-1.51492291123155	100
30	SRSF2	11.7525970223818	100
31	STAG2	-10.1652452401361	100
32	TET2	6.15137621529721	100
33	TP53	54.5039218324305	100
34	U2AF1_p.S34	4.94838950296633	100
35	WT1	24.3334930385889	100
36	age	3.3397521737182	100
37	eln_2017_ratio	-21.3375268568326	100
38	final_component_BAGE3_KMT2C	25.4482565888683	100
39	final_component_CEBPA_bi	10.3595862124562	100
40	final_component_DNMT3A_IDH1_2	-22.8339021182672	100
41	final_component_KIT_NRAS	2.55682938821584	100
42	final_component_NPM1	-7.31288923392191	100
43	final_component_TP53_complex	54.1985733509046	100
44	final_component_WT1_t_6_9_ITD	22.9072671936445	100
45	final_component_additions	-38.1885135637273	100
46	final_component_chr_splicing_1	-14.0367064341991	100
47	final_component_chr_splicing_multiple	13.3287898655882	100
48	final_component_inv_3	98.1770166205284	100
49	final_component_not_assigned	-13.2626610603778	100
50	final_component_t_11	26.874787346586	100
51	final_component_t_15_17	-127.440867041607	100
52	final_component_t_8_21	-53.1837968277494	100
53	gender	3.35692026952698	100
