feature	coef	n
1	add_11	25.777718223498	91
2	add_13	1.84172888350382	43
3	add_21	2.14826143502243	37
4	add_22	-28.7048274016086	87
5	add_8	0.68406421768816	42
6	complex	17.4966396924918	90
7	del_12	4.26910106042832	48
8	del_13	-18.2475455410334	69
9	del_16	6.40845465132417	52
10	del_17	35.6250313320343	95
11	del_18	-8.31087518264997	43
12	del_20	8.90025436253215	61
13	del_3	6.41257166989608	47
14	del_5	40.3883165867543	100
15	del_7	13.5644437628602	89
16	del_9	4.83902095451213	43
17	eln_2017_ratio	-35.9050867743466	100
18	minusy	7.51184117125054	46
19	others_transloc	2.70850259495012	46
20	t_8_21	-64.5865066272134	100
21	t_v_11	-6.54274434615994	54
