feature	coef	n
1	add_11	30.8919723920265	96
2	add_13	-0.537163285928835	45
3	add_21	1.55943507789934	36
4	add_22	-24.604262610665	86
5	add_8	0.587008046708918	43
6	ahd	-51.137908338941	100
7	bm_blasts	0.0342015943838191	39
8	complex	13.1714288991118	80
9	del_12	5.95056979065491	52
10	del_13	-26.0763060207164	81
11	del_16	2.55440202801736	55
12	del_17	46.4170964324838	99
13	del_18	-6.23334977177056	44
14	del_20	5.6617293668381	51
15	del_3	5.53753945483093	44
16	del_5	41.1624952151759	100
17	del_7	16.4866413363045	90
18	del_9	4.21216400860518	39
19	eln_2017_ratio	-35.4217681961582	100
20	hb	-0.0553569525549854	51
21	minusy	6.07457592548992	47
22	others_transloc	0.698548479082294	56
23	perf_status	28.6826637160472	100
24	plt	-0.0279616035317076	68
25	secondary	14.1237842796367	99
26	t_8_21	-54.0563453070849	100
27	t_v_11	-2.99310005158385	52
28	wbc	0.187410488775754	100
