feature	coef	n
1	add_11	21.8463038543179	100
2	add_13	3.04861455825152	100
3	add_21	-0.699793570885455	100
4	add_22	-17.0687288374602	100
5	add_8	-0.521367394131357	100
6	age	3.99041582292337	100
7	complex	21.7503921607359	100
8	del_12	10.2411113519612	100
9	del_13	-15.9098072850858	100
10	del_16	2.00555630621431	100
11	del_17	23.4815459128427	100
12	del_18	-1.96556184341314	100
13	del_20	2.71465510482883	100
14	del_3	5.26667614296758	100
15	del_5	29.2672468956823	100
16	del_7	17.501583098728	100
17	del_9	14.9595233439517	100
18	eln_2017_ratio	-29.2827495144993	100
19	gender	5.73470089699978	100
20	minusy	-2.40284208640292	100
21	others_transloc	13.9496626115886	100
22	t_8_21	-31.7735361650152	100
23	t_v_11	22.7803900340638	100
