feature	coef	n
1	add_11	31.5074775198075	100
2	add_13	12.3623395811377	100
3	add_21	3.34246512695724	100
4	add_22	-31.7792246301674	100
5	add_8	3.87784749318089	100
6	complex	19.8135530950222	100
7	del_12	8.40902884468711	100
8	del_13	-24.2924237456746	100
9	del_16	5.50601253377657	100
10	del_17	38.8059672422143	100
11	del_18	-0.689750870464528	100
12	del_20	15.9092691818737	100
13	del_3	15.0681399327629	100
14	del_5	37.5511776315246	100
15	del_7	16.9820045630807	100
16	del_9	8.20367623944359	100
17	eln_2017_ratio	-27.4909531883244	100
18	gender	8.61229050335502	100
19	inv_3	37.1847356600553	100
20	minusy	1.04804581572285	100
21	others_transloc	9.13666172724142	100
22	t_10_21	-37.0296443501416	55
23	t_12_13	-113.353006350265	83
24	t_12_17	-33.9050187507832	95
25	t_12_22	-39.4490592151966	99
26	t_13_19	-78.131628577861	50
27	t_15_16	22.6518762898209	78
28	t_15_17	-92.5885603793382	100
29	t_16_17	11.8383225523928	95
30	t_16_21	95.2759663790251	75
31	t_17_19	-52.1391777524023	95
32	t_17_21	-75.6983090366556	94
33	t_1_12	-43.3099801672214	80
34	t_1_14	14.8964429261662	82
35	t_1_16	31.8346331255125	95
36	t_1_17	37.9366824820621	94
37	t_1_19	-33.6975141912116	73
38	t_1_3	74.4048014350338	92
39	t_1_4	26.669224420489	98
40	t_1_5	61.5536148254011	76
41	t_1_6	38.936140033646	80
42	t_2_17	13.1559625547254	94
43	t_2_3	54.9913764009638	82
44	t_2_5	-12.0835691659763	87
45	t_2_7	-63.983010210761	86
46	t_2_9	-45.7678860817088	84
47	t_3_16	-5.93042570063309	97
48	t_3_21	97.1028788897674	91
49	t_3_5	-28.2536287901028	77
50	t_3_7	-38.2161977610233	81
51	t_3_9	-12.0670592584038	79
52	t_4_12	-60.3933746898088	96
53	t_4_21	-96.0854628745969	81
54	t_4_9	75.5022261370508	81
55	t_5_12	-86.8362126728831	80
56	t_5_17	9.63122278950363	52
57	t_5_9	-2.85496452550264	87
58	t_6_9	-15.1858960444756	100
59	t_7_16	94.9538490284823	82
60	t_7_17	-47.527125191802	90
61	t_7_8	-96.090708380374	84
62	t_8_10	-36.9656162922599	55
63	t_8_13	88.1107690542897	88
64	t_8_16	82.4245030944786	92
65	t_8_17	-4.17738176331549	97
66	t_8_21	-56.0371175215151	100
67	t_9_11	4.91189104801423	100
68	t_9_13	54.6668107163115	64
69	t_9_17	-56.0475535926137	82
70	t_9_22	-105.271969018174	100
71	t_v_11	-6.22196622325591	100
