feature	coef	n
1	add_11	25.7462017945191	94
2	add_13	7.17253043570977	61
3	add_21	1.40035054031593	38
4	add_22	-27.5455448017515	91
5	add_8	1.55938643750617	44
6	complex	15.4663617519347	83
7	del_12	5.43379018219574	48
8	del_13	-18.7367052389304	72
9	del_16	3.45238755156414	50
10	del_17	38.451444372974	99
11	del_18	-1.6271070565688	40
12	del_20	8.84763543197085	67
13	del_3	8.27989075718342	56
14	del_5	41.4810568728691	100
15	del_7	10.8671218858632	82
16	del_9	5.58872599556088	37
17	eln_2017_ratio	-36.9780274624825	100
18	gender	5.78585765589949	82
19	inv_3	25.6758571108037	85
20	minusy	3.32294383438415	43
21	others_transloc	6.67555903888612	53
22	t_10_21	-5.15948010398449	14
23	t_12_13	-92.0937031162453	82
24	t_12_17	-13.2625639033108	47
25	t_12_22	-24.3310522591511	62
26	t_13_19	-61.9866217329522	50
27	t_15_16	8.50956739716998	20
28	t_15_17	-112.60099496979	98
29	t_16_17	10.9385130758824	53
30	t_16_21	77.8477743441264	57
31	t_17_19	-14.539183371393	51
32	t_17_21	-73.088905353312	56
33	t_1_12	-6.04925381366871	20
34	t_1_14	0.811084694866074	9
35	t_1_16	10.8194708903259	39
36	t_1_17	27.5899529770208	45
37	t_1_19	-17.3370048498609	44
38	t_1_3	37.4904402248601	74
39	t_1_4	9.4316888776993	36
40	t_1_5	48.42856927973	54
41	t_1_6	37.847324742824	36
42	t_2_17	2.90092058473556	55
43	t_2_3	25.7589439281646	35
44	t_2_5	-1.3167423087879	14
45	t_2_7	-38.5150220997194	68
46	t_2_9	-14.1080662027049	39
47	t_3_16	1.31662647102378	44
48	t_3_21	74.0826183423339	87
49	t_3_5	-25.8479231187913	53
50	t_3_7	-25.934860398492	60
51	t_3_9	2.63583912529368	11
52	t_4_12	-42.1322948646517	68
53	t_4_21	-55.9904011361865	60
54	t_4_9	33.9787419214654	61
55	t_5_12	-48.6516739843554	62
56	t_5_17	0.0555075151885301	3
57	t_5_9	-5.88136136521701	28
58	t_6_9	-14.0837439683177	68
59	t_7_16	56.9227044517109	64
60	t_7_17	-43.303927938196	57
61	t_7_8	-58.8225476653701	78
62	t_8_10	-0.0201502741433803	12
63	t_8_13	62.1146041040106	78
64	t_8_16	55.1080504566804	69
65	t_8_17	-5.16576426087687	45
66	t_8_21	-63.6413563180746	100
67	t_9_11	1.64237299012539	44
68	t_9_13	27.8450533341196	51
69	t_9_17	-22.493089756759	60
70	t_9_22	-105.181844173766	97
71	t_v_11	-7.07023273279077	57
