feature	coef	n
1	add_11	27.5787853303012	100
2	add_13	1.47029425528398	100
3	add_21	2.42409166271253	100
4	add_22	-30.1541771516217	100
5	add_8	-1.37306473040017	100
6	complex	21.5181980027437	100
7	del_12	3.51453049230442	100
8	del_13	-21.3627797999578	100
9	del_16	5.56238567538366	100
10	del_17	34.1228097792639	100
11	del_18	-10.5763422980943	100
12	del_20	10.6076196215689	100
13	del_3	6.97566240841142	100
14	del_5	39.3915524404445	100
15	del_7	16.9978923510818	100
16	del_9	4.65585751707663	100
17	eln_2017_ratio	-37.3341100294868	100
18	gender	8.36053640626145	100
19	minusy	6.02263712544401	100
20	others_transloc	3.12654259450097	100
21	t_8_21	-56.3674710688024	100
22	t_v_11	-8.2808106101888	100
