feature	coef	n
1	ASXL1	23.1740469561656	100
2	BCOR	-0.153226931685747	100
3	CBL	8.62281795773223	100
4	CEBPA_bi	-0.574796620692559	100
5	CEBPA_mono	-3.99382964489465	100
6	DNMT3A	16.1667249536926	100
7	EZH2	29.8292600744133	100
8	FLT3_TKD	-0.0642167101291566	100
9	FLT3_other	1.6784514062511	100
10	GATA2	-11.2546079841785	100
11	IDH1	-4.63674930120244	100
12	IDH2_p.R140	4.59160261996598	100
13	IDH2_p.R172	-42.9539778685803	100
14	ITD	23.010461400668	100
15	KIT	-22.4741532077062	100
16	KRAS	12.4775267342313	100
17	MLL	7.1981600841803	100
18	MYC	-18.9045123277624	100
19	NF1	1.16218690647456	100
20	NPM1	13.1517402792368	100
21	NRAS_p.G12_13	3.07087324555641	100
22	NRAS_p.Q61_62	23.1874714298406	100
23	PHF6	2.40751627060299	100
24	PTPN11	-19.4478642788245	100
25	RAD21	-22.7025882687567	100
26	RUNX1	-0.175733114538419	100
27	SF3B1	44.922191343586	100
28	SMC1A	24.6313487928876	100
29	SMC3	2.40965987572736	100
30	SRSF2	33.2409275761859	100
31	STAG2	4.47054405161177	100
32	TET2	25.1195997870186	100
33	TP53	112.9349240301	100
34	U2AF1_p.S34	36.1253348691662	100
35	WT1	22.2254345292693	100
36	eln_2017_ratio	-35.1926052047441	100
