feature	coef	n
1	ASXL1	19.5316682994866	100
2	BCOR	-0.202158865204326	100
3	CBL	10.6930132839063	100
4	CEBPA_bi	10.3444822240431	100
5	CEBPA_mono	-2.58582126472859	100
6	DNMT3A	15.3721797870973	100
7	EZH2	27.295344407387	100
8	FLT3_TKD	2.71281852010659	100
9	FLT3_other	3.29669133301531	100
10	GATA2	-6.47545999926751	100
11	IDH1	-2.61208251598223	100
12	IDH2_p.R140	6.33099202223652	100
13	IDH2_p.R172	-30.165268025812	100
14	ITD	23.7006378015542	100
15	KIT	-8.51908464184347	100
16	KRAS	12.8926280349584	100
17	MLL	3.0007111511289	100
18	MYC	-7.86478168083743	100
19	NF1	4.12359179036714	100
20	NPM1	26.4947730542553	100
21	NRAS_p.G12_13	4.18718200269793	100
22	NRAS_p.Q61_62	26.490847031663	100
23	PHF6	5.0479374678668	100
24	PTPN11	-17.251371973242	100
25	RAD21	-16.9667132142202	100
26	RUNX1	-5.07424589345774	100
27	SF3B1	37.0155386713437	100
28	SMC1A	24.0731901658557	100
29	SMC3	6.88955286534988	100
30	SRSF2	33.2720717739566	100
31	STAG2	4.55204994375128	100
32	TET2	26.940770198927	100
33	TP53	105.658064492751	100
34	U2AF1_p.S34	31.3139044678683	100
35	WT1	22.7993567895228	100
36	eln_2017_ratio	-47.3339851755809	100
