feature	coef	n
1	ASXL1	8.62022605825392	79
2	BCOR	6.39795362632304	64
3	CBL	7.18717651190795	60
4	CEBPA_bi	1.7402730663955	43
5	CEBPA_mono	-1.93592827592939	53
6	DNMT3A	14.1678332411869	92
7	EZH2	17.7654890403148	85
8	FLT3_TKD	-2.3456436249247	50
9	FLT3_other	-0.106355184109509	47
10	GATA2	-9.97577659484045	66
11	IDH1	0.468617175103332	49
12	IDH2_p.R140	8.81278064322525	74
13	IDH2_p.R172	-27.0425737139876	86
14	ITD	9.69286450156371	78
15	KIT	-15.6247046890068	72
16	KRAS	2.61425072636098	51
17	MLL	3.07190728290867	46
18	MYC	-11.401512695138	62
19	NF1	-0.75037528358306	66
20	NPM1	8.71647883122809	66
21	NRAS_p.G12_13	-0.934023454119402	54
22	NRAS_p.Q61_62	13.7981628075752	69
23	PHF6	3.88881177002599	53
24	PTPN11	-11.883818945864	68
25	RAD21	-11.9432344489182	64
26	RUNX1	-0.667379039862232	49
27	SF3B1	30.8123349929995	96
28	SMC1A	15.1860280621572	75
29	SMC3	4.15497941750147	42
30	SRSF2	20.272178584506	98
31	STAG2	3.06855504085928	48
32	TET2	21.291107012678	97
33	TP53	103.340027332021	100
34	U2AF1_p.S34	23.4435196508928	97
35	WT1	20.1438286227517	94
36	ahd	-44.8656063564576	100
37	bm_blasts	0.0535514981138518	54
38	eln_2017_ratio	-38.7467152200331	100
39	hb	-0.0270686254506968	45
40	perf_status	25.3353333521933	100
41	plt	-0.0328000633706109	73
42	secondary	11.927032346328	97
43	wbc	0.187907760892067	100
