feature	coef	n
1	ASXL1	0.0722761757254	15
2	BCOR	0.00181895519298742	3
3	CBL	0.00297939456458507	2
4	CEBPA_bi	-0.00130042741559258	1
5	CEBPA_mono	-0.0252118089712078	8
6	DNMT3A	0.0566462083128826	7
7	EZH2	0.0170924128599429	4
8	FLT3_TKD	-0.0220499979930393	3
9	GATA2	-0.0581382067985797	21
10	IDH1	-0.0151858930632029	4
11	IDH2_p.R140	0.00976978503158233	1
12	IDH2_p.R172	-0.368610798182881	67
13	ITD	0.811693558713683	56
14	KIT	-0.0187682216823645	2
15	KRAS	0.0226753229444616	9
16	MLL	0.0157738755856005	7
17	MYC	-0.00234319187518409	1
18	NF1	0.00570789682122938	2
19	NPM1	-0.0109991875017393	1
20	NRAS_p.G12_13	0.0107998712832758	2
21	NRAS_p.Q61_62	0.0853109184106408	18
22	PHF6	0.00454196136205651	1
23	PTPN11	-0.127264417739532	20
24	RAD21	-0.00918702758556386	4
25	SF3B1	0.0446433652334688	10
26	SMC1A	0.0154950451489396	6
27	SRSF2	0.00267726537829024	3
28	STAG2	-0.00370083114776582	2
29	TET2	0.0254389932981496	4
30	TP53	5.00147278716542	100
31	U2AF1_p.S34	0.0135750403549104	5
32	WT1	0.520790994528862	61
33	add_11	0.143807384787371	33
34	add_13	0.030155124641109	9
35	add_21	0.00158737018725096	1
36	add_22	-0.0669029071098516	25
37	add_8	0.00751750160360361	1
38	age	787.478526861177	100
39	ahd	-2.00182542372791	99
40	bm_blasts	2.04234142491576	5
41	complex	0.214258956291592	25
42	del_12	0.0494751326862115	17
43	del_13	-0.0314058755835037	18
44	del_16	0.00387071766193899	2
45	del_17	0.198379140158207	38
46	del_20	0.0135312905249967	4
47	del_5	0.216369309922094	34
48	del_7	0.441780094209125	59
49	del_9	0.00886665927811964	4
50	eln_2017_ratio	-23.4280206553207	100
51	gender	0.050434168696592	9
52	hb	0.178479657856718	2
53	inv_3	0.174151073185786	52
54	minusy	-0.0230732825763469	6
55	others_transloc	0.041702647763725	14
56	perf_status	8.1510149946872	99
57	plt	-51.5181803531867	30
58	secondary	0.244102102457441	25
59	t_12_13	-0.000302774651977982	1
60	t_12_17	-0.000477539502343475	2
61	t_13_19	-0.0102151023445303	18
62	t_15_17	-0.278575948713961	76
63	t_16_21	0.00477549863042786	5
64	t_17_21	-0.00666944731026277	13
65	t_1_3	0.012636960126805	9
66	t_1_5	0.000635575639434623	1
67	t_2_17	0.00159102613029256	4
68	t_3_16	-0.000407510710751389	1
69	t_3_21	0.0144125385588385	10
70	t_4_12	-0.00608500309704789	11
71	t_4_21	-0.0204248551039209	32
72	t_5_12	-0.00198459387753025	4
73	t_6_9	0.00363816886449297	2
74	t_7_16	0.00483862543707186	5
75	t_7_17	-0.0141260460398264	23
76	t_8_13	0.0201658649079358	16
77	t_8_16	0.0119627980054682	9
78	t_8_21	-0.391394671801185	62
79	t_9_11	0.0637537675635678	26
80	t_9_17	-0.00559685392568083	11
81	t_9_22	-0.100839217421454	62
82	t_v_11	0.0464800326932806	14
83	wbc	588.707481341873	100
