feature	coef	n
1	ASXL1	5.61213735956115	60
2	BCOR	4.78819518696116	57
3	CBL	4.82090438599099	45
4	CEBPA_bi	2.03010403456106	37
5	CEBPA_mono	-3.26759933156378	42
6	DNMT3A	6.20527808188933	75
7	EZH2	6.1062160015924	43
8	FLT3_TKD	-5.73032363664986	59
9	FLT3_other	-0.2315747118862	38
10	GATA2	-12.6950172230217	72
11	IDH1	-2.01525262395181	55
12	IDH2_p.R140	-0.114249723983456	41
13	IDH2_p.R172	-35.6940171943975	96
14	ITD	11.5533405741734	82
15	KIT	-1.70201505566869	33
16	KRAS	5.37016067850992	52
17	MLL	3.26879501626534	37
18	MYC	-0.954694886975333	35
19	NF1	4.7860427782468	47
20	NPM1	-2.87553268970321	30
21	NRAS_p.G12_13	2.65275368690881	48
22	NRAS_p.Q61_62	15.5563557205806	75
23	PHF6	2.75136998566322	43
24	PTPN11	-8.03911488791446	59
25	RAD21	-1.43325769639693	42
26	RUNX1	-2.35507194782396	45
27	SF3B1	10.2519329781119	63
28	SMC1A	8.00459271598067	56
29	SMC3	2.68553852854822	42
30	SRSF2	1.24278629094489	29
31	STAG2	-0.747054373971109	38
32	TET2	1.7100648130938	43
33	TP53	75.9647527482072	100
34	U2AF1_p.S34	5.73983468438779	56
35	WT1	28.4338921903816	97
36	add_11	18.0190454304573	87
37	add_13	4.28914706886043	44
38	add_21	0.626947158343596	39
39	add_22	-22.8002334799985	84
40	add_8	0.733940888091637	39
41	age	3.70214471087052	100
42	ahd	-34.3750846106381	100
43	bm_blasts	0.112390461477085	78
44	complex	4.88760514611763	43
45	del_12	9.8290184192181	62
46	del_13	-27.595463948695	94
47	del_16	-1.24279182010549	48
48	del_17	14.8431145049665	74
49	del_18	-10.6620172938629	60
50	del_20	-1.58848324459417	41
51	del_3	-0.971012517607215	32
52	del_5	9.14999610222338	61
53	del_7	16.5524688665678	94
54	del_9	9.99212287417439	59
55	eln_2017_ratio	-30.2217048834028	100
56	gender	2.53669096404025	51
57	hb	0.0263768025797456	42
58	minusy	-3.54759675151221	37
59	others_transloc	11.0762383095601	64
60	perf_status	18.9011176456511	100
61	plt	-0.0163420092284392	59
62	secondary	3.09700904746133	63
63	t_8_21	-29.867625452012	95
64	t_v_11	15.9074925943742	69
65	wbc	0.244304751268849	100
