feature	coef	n
1	ASXL1	8.5760255633794	100
2	BCOR	6.80120077205521	100
3	CBL	7.340835075034	100
4	CEBPA_bi	6.44817608296772	100
5	CEBPA_mono	-3.35501632148307	100
6	DNMT3A	9.51256163106889	100
7	EZH2	7.54367887842538	100
8	FLT3_TKD	-6.04279089788342	100
9	FLT3_other	-1.17700672630743	100
10	GATA2	-11.8510671507632	100
11	IDH1	-1.78021631174449	100
12	IDH2_p.R140	0.975560601557961	100
13	IDH2_p.R172	-22.4562845604414	100
14	ITD	15.9224684470204	100
15	KIT	1.16545196122704	100
16	KRAS	7.68674457573368	100
17	MLL	3.78042250955042	100
18	MYC	1.75784628960843	100
19	NF1	7.1851160639613	100
20	NPM1	-3.83347335745004	100
21	NRAS_p.G12_13	6.29784235569662	100
22	NRAS_p.Q61_62	18.6016089129232	100
23	PHF6	5.61496007719678	100
24	PTPN11	-7.08576562880328	100
25	RAD21	1.60532544693049	100
26	RUNX1	-8.00112412120868	100
27	SF3B1	12.5842441184885	100
28	SMC1A	9.33695244222241	100
29	SMC3	5.98382111011823	100
30	SRSF2	2.8173119775824	100
31	STAG2	-1.24817681393078	100
32	TET2	2.33004304803389	100
33	TP53	49.0575314174321	100
34	U2AF1_p.S34	7.50104656820182	100
35	WT1	28.7338206605723	100
36	add_11	17.5905782812587	100
37	add_13	4.08733923467188	100
38	add_21	0.456048651970225	100
39	add_22	-14.4878426829302	100
40	add_8	-0.669141112138968	100
41	age	3.99714798002558	100
42	ahd	-26.8090446357367	100
43	bm_blasts	0.220381495345278	100
44	complex	13.4571126461166	100
45	del_12	10.8042387823183	100
46	del_13	-16.5109328786279	100
47	del_16	-0.505316555336483	100
48	del_17	17.4911144551032	100
49	del_18	-5.74326870883444	100
50	del_20	-0.287776588198402	100
51	del_3	0.813744121384873	100
52	del_5	17.7841804378481	100
53	del_7	18.9434244808136	100
54	del_9	10.6880422693319	100
55	eln_2017_ratio	-33.3447915647545	100
56	gender	4.51929518591792	100
57	hb	0.0927247678034207	100
58	minusy	-3.18713765274186	100
59	others_transloc	11.8899663647373	100
60	perf_status	20.5823003017396	100
61	plt	-0.0321346868531241	100
62	secondary	8.51383386833298	100
63	t_8_21	-18.540066986302	100
64	t_v_11	17.5372897159251	100
65	wbc	0.277325989432345	100
