feature	coef	n
1	ASXL1	22.8003868999653	100
2	BCOR	0.268668482479829	100
3	CBL	8.24691592359571	100
4	CEBPA_bi	-0.751740830400123	100
5	CEBPA_mono	-4.3158757327954	100
6	DNMT3A	16.3253768277978	100
7	EZH2	29.6897024623803	100
8	FLT3_TKD	-0.0522054216829838	100
9	FLT3_other	1.56625952619695	100
10	GATA2	-11.6943726799786	100
11	IDH1	-4.02007950151741	100
12	IDH2_p.R140	4.67794553278256	100
13	IDH2_p.R172	-42.0555587047689	100
14	ITD	23.0695370347579	100
15	KIT	-22.3756186937019	100
16	KRAS	12.097822057586	100
17	MLL	7.4408840104256	100
18	MYC	-18.9298434952962	100
19	NF1	1.51376923926846	100
20	NPM1	13.2023799535116	100
21	NRAS_p.G12_13	3.17272516144395	100
22	NRAS_p.Q61_62	22.7847008361737	100
23	PHF6	2.17392246271783	100
24	PTPN11	-19.2891803880844	100
25	RAD21	-22.4865307313973	100
26	RUNX1	-0.349806564605267	100
27	SF3B1	44.496396314732	100
28	SMC1A	23.9787310882955	100
29	SMC3	2.20542744935832	100
30	SRSF2	32.412621255224	100
31	STAG2	4.39846929518371	100
32	TET2	25.0230478680876	100
33	TP53	112.542653236323	100
34	U2AF1_p.S34	34.8302873620655	100
35	WT1	22.3669699404555	100
36	eln_2017_ratio	-34.9018517853508	100
37	gender	4.35986965262525	100
