feature	coef	n
1	ASXL1	2.07708947320541	100
2	BCOR	0.128750031531865	34
3	CBL	0.0139870707038113	9
4	CEBPA_bi	-0.235838904896777	46
5	CEBPA_mono	0.00283876528798516	7
6	DNMT3A	0.851942850590033	64
7	EZH2	0.468516765646959	69
8	FLT3_TKD	-0.0797776701447785	19
9	FLT3_other	0.00331474380985846	6
10	GATA2	-0.075700752331187	20
11	IDH1	-0.00946563370092258	10
12	IDH2_p.R140	0.0634709658040429	10
13	IDH2_p.R172	-0.243876413423798	55
14	ITD	2.0494775087478	91
15	KIT	-0.759051769407565	82
16	KRAS	0.145796906773383	23
17	MLL	1.14089176521154	96
18	MYC	-0.0453936416585785	14
19	NF1	0.0092924515055455	5
20	NPM1	-1.55959371115534	74
21	NRAS_p.G12_13	0.0138620572642478	5
22	NRAS_p.Q61_62	0.0526393922833358	13
23	PHF6	0.0180850265384661	6
24	PTPN11	-0.435097752061615	51
25	RAD21	-0.262377052410247	46
26	RUNX1	2.2962614175891	97
27	SF3B1	0.815598914163664	94
28	SMC1A	0.0768152697728725	25
29	SMC3	-0.00684798240706488	5
30	SRSF2	3.37593373604515	99
31	STAG2	0.142145357770646	27
32	TET2	2.31393890900886	94
33	TP53	9.86215761826683	100
34	U2AF1_p.S34	0.755231430195655	92
35	WT1	0.167211042555435	30
