feature	coef	n
1	ASXL1	25.8935624639283	100
2	BCOR	16.1486823107658	100
3	CBL	6.7378425000175	100
4	CEBPA_bi	-26.5678447289428	100
5	CEBPA_mono	-1.89358469039134	100
6	DNMT3A	16.7007365921823	100
7	EZH2	26.0205515668263	100
8	FLT3_TKD	-9.96593944205918	100
9	FLT3_other	-0.654415441661077	100
10	GATA2	-13.049618533935	100
11	IDH1	0.0388444400374762	100
12	IDH2_p.R140	9.61695885671957	100
13	IDH2_p.R172	-26.5589442228438	100
14	ITD	13.7465205175215	100
15	KIT	-41.3411933822101	100
16	KRAS	5.15120308345184	100
17	MLL	25.2179508252359	100
18	MYC	-19.6673643474124	100
19	NF1	-0.342535314312837	100
20	NPM1	-21.6931615429587	100
21	NRAS_p.G12_13	-2.03667235698552	100
22	NRAS_p.Q61_62	9.44091750444774	100
23	PHF6	9.6406298973187	100
24	PTPN11	-14.9585382745735	100
25	RAD21	-17.0207145782374	100
26	RUNX1	16.0018289228908	100
27	SF3B1	47.0059897265537	100
28	SMC1A	12.512107617024	100
29	SMC3	1.4158708098246	100
30	SRSF2	24.887856903782	100
31	STAG2	6.23087529326232	100
32	TET2	21.7965182017785	100
33	TP53	126.241189529555	100
34	U2AF1_p.S34	33.1150764651303	100
35	WT1	23.6607004591819	100
36	ahd	-45.0394472989209	100
37	bm_blasts	0.0826004586209374	100
38	hb	-0.0656517763760785	100
39	perf_status	23.9640999583652	100
40	plt	-0.0287191460836326	100
41	secondary	16.6653226287105	100
42	wbc	0.170275959404614	100
