feature	coef	n
1	ASXL1	36.8773358573757	100
2	BCOR	4.86121861768513	66
3	CBL	7.24016358785922	54
4	CEBPA_bi	-28.6946666561473	85
5	CEBPA_mono	-1.98132078893798	49
6	DNMT3A	12.5798715740052	92
7	EZH2	29.9864716546201	94
8	FLT3_TKD	-1.50893360038432	56
9	FLT3_other	2.50069230582808	53
10	GATA2	-8.4795180676743	68
11	IDH1	-2.56886938654045	65
12	IDH2_p.R140	3.32515240409374	55
13	IDH2_p.R172	-31.3304312473685	88
14	ITD	25.7275026027068	100
15	KIT	-20.6800072896266	82
16	KRAS	10.4450730689312	72
17	MLL	23.9851647353895	99
18	MYC	-12.8380670549996	68
19	NF1	-3.69030983483297	54
20	NPM1	-16.9662573918068	98
21	NRAS_p.G12_13	2.35139183868323	54
22	NRAS_p.Q61_62	10.7319489462589	61
23	PHF6	4.14888096390036	53
24	PTPN11	-16.2895719710766	86
25	RAD21	-13.850162972388	77
26	RUNX1	14.6114084652992	92
27	SF3B1	50.7274152104481	100
28	SMC1A	20.1548054735591	82
29	SMC3	0.294883395439232	48
30	SRSF2	36.306338355735	100
31	STAG2	5.82851725744804	63
32	TET2	24.0189468325171	99
33	TP53	111.658190058742	100
34	U2AF1_p.S34	38.1084357036276	100
35	WT1	18.6625959765606	93
36	add_11	22.1845374079786	86
37	add_13	8.04854845116776	63
38	add_21	4.65546577581449	57
39	add_22	-39.8211221620219	97
40	add_8	3.7443442365233	57
41	complex	18.2789076035767	86
42	del_12	10.6294230156802	60
43	del_13	-30.4040869891783	95
44	del_16	9.69565613635111	63
45	del_17	8.69361076530023	63
46	del_18	-27.4127209636255	84
47	del_20	11.1718338908075	72
48	del_3	-7.2961172134646	59
49	del_5	28.5803551016336	96
50	del_7	21.8681455672155	95
51	del_9	17.6995045349192	80
52	minusy	7.72321266161728	58
53	others_transloc	15.0956183297641	69
54	t_8_21	-84.3970660019237	100
55	t_v_11	-1.25358020660834	56
