feature	coef	n
1	ASXL1	35.5207810644955	100
2	BCOR	4.4868720995289	58
3	CBL	5.50552237045569	50
4	CEBPA_bi	-28.2437522829535	86
5	CEBPA_mono	-1.83515378245942	37
6	DNMT3A	11.2383335544904	85
7	EZH2	27.2014821811983	90
8	FLT3_TKD	-0.0108022752588937	47
9	FLT3_other	2.16802739310736	47
10	GATA2	-9.82803279252261	67
11	IDH1	-3.05739590417635	60
12	IDH2_p.R140	2.31929869025275	50
13	IDH2_p.R172	-30.6610466371842	87
14	ITD	25.6615645555123	100
15	KIT	-21.2854715495223	84
16	KRAS	9.25122402689498	64
17	MLL	21.6178449105907	98
18	MYC	-11.8797351035662	63
19	NF1	-5.06613376541805	51
20	NPM1	-18.9518395582898	99
21	NRAS_p.G12_13	0.923366445030564	39
22	NRAS_p.Q61_62	7.42950978178213	52
23	PHF6	3.08013222608281	42
24	PTPN11	-17.173091719862	86
25	RAD21	-11.3918848124553	68
26	RUNX1	15.9339652455907	92
27	SF3B1	37.3666078761669	98
28	SMC1A	19.1118840180828	80
29	SMC3	0.428522943726352	38
30	SRSF2	33.372715925468	100
31	STAG2	4.65650044063619	53
32	TET2	22.640640428021	99
33	TP53	109.033190977025	100
34	U2AF1_p.S34	34.6054435702135	100
35	WT1	17.3403147305091	93
36	add_11	21.3036105409412	88
37	add_13	11.8959388781578	62
38	add_21	3.27636163088326	45
39	add_22	-32.5625161065406	96
40	add_8	3.89190455167563	54
41	complex	15.5856382526989	85
42	del_12	11.002133668215	60
43	del_13	-26.4815960966066	90
44	del_16	3.85474856859016	50
45	del_17	9.68066792558133	64
46	del_18	-14.3100135521447	68
47	del_20	11.0975573533126	67
48	del_3	-1.76683844264402	37
49	del_5	29.2948694073062	94
50	del_7	17.2286157787826	91
51	del_9	15.9181352431024	69
52	inv_3	64.9317892890765	99
53	minusy	4.61774432872586	44
54	others_transloc	15.9830544165888	60
55	t_10_21	-11.8955235033638	31
56	t_12_13	-46.8229508794905	79
57	t_12_17	-17.4700481218186	54
58	t_12_22	-5.84193843522199	36
59	t_13_19	-53.1527443619635	50
60	t_15_16	3.23805179311589	22
61	t_15_17	-106.311662747468	99
62	t_16_17	19.3393167454891	39
63	t_16_21	65.0972681346746	52
64	t_17_19	-19.2060156642967	46
65	t_17_21	-70.8005463637504	63
66	t_1_12	-27.5581740474451	50
67	t_1_14	9.61092882311275	31
68	t_1_16	6.68888485901988	35
69	t_1_17	40.4605333270992	57
70	t_1_19	-16.5846033418512	48
71	t_1_3	46.0463332393475	62
72	t_1_4	12.7288011461661	48
73	t_1_5	39.8139504406209	38
74	t_1_6	55.1959783861257	45
75	t_2_17	14.7939207721012	58
76	t_2_3	21.8622036689523	44
77	t_2_5	-1.7080414899442	16
78	t_2_7	-36.7316898572793	68
79	t_2_9	-23.6838010708129	44
80	t_3_16	-3.31770749685747	45
81	t_3_21	71.9573043298865	88
82	t_3_5	-9.42336816112089	52
83	t_3_7	-1.11748737770865	60
84	t_3_9	10.4297444165452	21
85	t_4_12	-35.6603485997429	67
86	t_4_21	-59.7796000074669	63
87	t_4_9	28.608021471701	58
88	t_5_12	-31.4834164105712	55
89	t_5_17	-1.36592156579276	8
90	t_5_9	-8.04822751572714	39
91	t_6_9	3.49697909483296	34
92	t_7_16	34.4145597494294	65
93	t_7_17	-53.2724099018961	64
94	t_7_8	-43.7051083084687	80
95	t_8_10	-0.0558091298685529	28
96	t_8_13	93.9251638814303	82
97	t_8_16	67.8895148732355	71
98	t_8_17	-0.262980011327794	44
99	t_8_21	-81.6219067334423	100
100	t_9_11	13.2149565655033	65
101	t_9_13	45.0866188883217	57
102	t_9_17	-45.0099070546174	76
103	t_9_22	-71.324020254417	91
104	t_v_11	-1.22325012184148	41
