feature	coef	n
1	ASXL1	20.2415031576431	100
2	BCOR	11.9632999360573	100
3	CBL	9.27377054243386	100
4	CEBPA_bi	-8.53992760427816	100
5	CEBPA_mono	-2.73383670733014	100
6	DNMT3A	11.8964273636172	100
7	EZH2	11.6852711120424	100
8	FLT3_TKD	-9.51607386675045	100
9	FLT3_other	-0.560182975279347	100
10	GATA2	-14.920544648264	100
11	IDH1	-0.57103009123134	100
12	IDH2_p.R140	0.997697537784607	100
13	IDH2_p.R172	-24.635459695211	100
14	ITD	21.123631059057	100
15	KIT	-6.83008049143992	100
16	KRAS	10.8165109097289	100
17	MLL	18.4700946544623	100
18	MYC	0.530643854147197	100
19	NF1	7.6816914214495	100
20	NPM1	-36.1396550211527	100
21	NRAS_p.G12_13	8.26554396195905	100
22	NRAS_p.Q61_62	16.2268768624417	100
23	PHF6	8.86912464875427	100
24	PTPN11	-8.00205960661579	100
25	RAD21	2.0123222034463	100
26	RUNX1	6.5707368031711	100
27	SF3B1	19.718743371022	100
28	SMC1A	8.38816927840835	100
29	SMC3	5.75151940210274	100
30	SRSF2	5.82139874529828	100
31	STAG2	0.874146507858237	100
32	TET2	2.86281015294093	100
33	TP53	64.3695160715556	100
34	U2AF1_p.S34	12.1342819404895	100
35	WT1	31.2148009405614	100
36	add_11	20.7876665429533	100
37	add_13	5.76734047505798	100
38	add_21	2.32911572800137	100
39	add_22	-20.4611239312451	100
40	add_8	0.962799060868233	100
41	age	4.07724109923849	100
42	ahd	-29.6825550689097	100
43	bm_blasts	0.233431976626116	100
44	complex	23.1150973713155	100
45	del_12	12.9863846433619	100
46	del_13	-19.9193450665196	100
47	del_16	1.00067029173308	100
48	del_17	17.9474308159056	100
49	del_18	-9.77234229045118	100
50	del_20	1.20371041374967	100
51	del_3	-1.57232222636255	100
52	del_5	22.3118271320126	100
53	del_7	27.2285209411171	100
54	del_9	13.8674196247082	100
55	gender	5.45950703848893	100
56	hb	0.0660012716885515	100
57	minusy	-5.84111308392223	100
58	others_transloc	15.5282252275767	100
59	perf_status	20.8688173234024	100
60	plt	-0.0211815440313249	100
61	secondary	9.60207475342182	100
62	t_8_21	-41.1089044206979	100
63	t_v_11	21.3835291287139	100
64	wbc	0.253199152184355	100
