feature	coef	n
1	ASXL1	36.6832108446614	100
2	BCOR	6.53862177636377	67
3	CBL	5.06287160459808	58
4	CEBPA_bi	-26.4574823590606	85
5	CEBPA_mono	-0.864256498706209	49
6	DNMT3A	17.0966559514754	98
7	EZH2	30.547836253555	96
8	FLT3_TKD	-2.65399750068798	60
9	FLT3_other	1.60390938489511	58
10	GATA2	-8.03205838416904	70
11	IDH1	-1.13040907705311	67
12	IDH2_p.R140	3.69767859220064	58
13	IDH2_p.R172	-32.39485005423	90
14	ITD	26.935412771643	100
15	KIT	-36.6793310298318	98
16	KRAS	12.5742173788596	80
17	MLL	27.0867059975734	100
18	MYC	-13.6505018163197	69
19	NF1	2.3873831017909	69
20	NPM1	-16.7625755143833	98
21	NRAS_p.G12_13	2.33871790967753	58
22	NRAS_p.Q61_62	11.8870350127303	67
23	PHF6	2.81274038928435	58
24	PTPN11	-14.3724887775448	82
25	RAD21	-18.9404447861473	81
26	RUNX1	16.3903768485852	95
27	SF3B1	54.0877375821174	100
28	SMC1A	13.7742838524595	78
29	SMC3	-2.54356961481446	50
30	SRSF2	38.0193906758878	100
31	STAG2	5.46406998206859	67
32	TET2	25.6008416683155	100
33	TP53	149.334224731042	100
34	U2AF1_p.S34	40.1012046023173	100
35	WT1	19.4021144311849	93
36	gender	4.05522850233414	71
