feature	coef	n
1	ASXL1	8.68524819391642	100
2	BCOR	7.05093949172509	100
3	CBL	9.6993045917539	100
4	CEBPA_bi	12.0195560556729	100
5	CEBPA_mono	-4.29875382145049	100
6	DNMT3A	10.3354309517804	100
7	EZH2	7.25171235845905	100
8	FLT3_TKD	-6.65302218261168	100
9	FLT3_other	-2.36799247381751	100
10	GATA2	-14.5719878642815	100
11	IDH1	-2.61086543494036	100
12	IDH2_p.R140	0.806086996165313	100
13	IDH2_p.R172	-30.1747318529538	100
14	ITD	13.388362587795	100
15	KIT	-0.447521837187091	100
16	KRAS	10.0921167502139	100
17	MLL	4.16409809702273	100
18	MYC	1.06623447400505	100
19	NF1	10.8908892951273	100
20	NPM1	0.498218903725366	100
21	NRAS_p.G12_13	4.66705818265314	100
22	NRAS_p.Q61_62	21.663889502124	100
23	PHF6	4.40484126380101	100
24	PTPN11	-7.31253836547791	100
25	RAD21	-1.02943263365613	100
26	RUNX1	-8.89288582094344	100
27	SF3B1	13.0859920194896	100
28	SMC1A	8.81610541707869	100
29	SMC3	6.74731447141847	100
30	SRSF2	2.41815792713724	100
31	STAG2	-4.73123143448149	100
32	TET2	1.14699811850741	100
33	TP53	80.0299292351367	100
34	U2AF1_p.S34	7.40205859113454	100
35	WT1	30.0273919553146	100
36	age	4.04255984952115	100
37	ahd	-29.597037191082	100
38	bm_blasts	0.192039802172984	100
39	eln_adverse	38.9212694302488	100
40	eln_favorable	-38.6310250497915	100
41	eln_intermediate	13.3585446083388	100
42	hb	0.0949920314143625	100
43	perf_status	19.265056217819	100
44	plt	-0.0411425064758969	100
45	secondary	8.12778223829265	100
46	wbc	0.281420021705078	100
