feature	coef	n
1	ASXL1	18.2080268689707	100
2	BCOR	0.661306264905278	100
3	CBL	7.91617730108243	100
4	CEBPA_bi	17.1579145633191	100
5	CEBPA_mono	-7.96087757856685	100
6	DNMT3A	11.529832153223	100
7	EZH2	14.4257890444528	100
8	FLT3_TKD	-2.35910432790307	100
9	FLT3_other	1.72363926461598	100
10	GATA2	-18.8679594624089	100
11	IDH1	-5.02320714620866	100
12	IDH2_p.R140	-4.7615892850772	100
13	IDH2_p.R172	-53.2051929495431	100
14	ITD	26.6937221483625	100
15	KIT	-6.06382344510993	100
16	KRAS	16.4916515873896	100
17	MLL	10.4868596417987	100
18	MYC	-6.2639610787689	100
19	NF1	12.6182102823995	100
20	NPM1	6.12712100320769	100
21	NRAS_p.G12_13	11.1182625249937	100
22	NRAS_p.Q61_62	31.3217869605194	100
23	PHF6	1.19628322654588	100
24	PTPN11	-13.2598091464006	100
25	RAD21	-12.8275526661675	100
26	RUNX1	-6.23592252082252	100
27	SF3B1	17.2572484703757	100
28	SMC1A	11.9267608186973	100
29	SMC3	1.08388110543586	100
30	SRSF2	9.98740631677597	100
31	STAG2	-7.17857945837901	100
32	TET2	3.6373546634906	100
33	TP53	95.6349789058746	100
34	U2AF1_p.S34	10.771425234078	100
35	WT1	31.3752427764972	100
36	age	3.68545112495958	200
37	eln_adverse	30.2812422756155	100
38	eln_favorable	-36.4591600501635	100
39	eln_intermediate	10.6565523237	100
40	gender	5.17239703991128	100
