feature	coef	n
1	age	802.292142633603	100
2	ahd	-2.12076189437756	99
3	bm_blasts	7.92457403793077	19
4	eln_adverse	4.59804002014788	99
5	eln_favorable	-9.02012433194183	100
6	final_component_BAGE3_KMT2C	-0.00411912057782793	7
7	final_component_CEBPA_bi	-0.00228888346338617	1
8	final_component_DNMT3A_IDH1_2	-0.139077787969394	31
9	final_component_KIT_NRAS	0.00293012402889018	2
10	final_component_TP53_complex	6.52397070183862	100
11	final_component_WT1_t_6_9_ITD	0.464183112699523	72
12	final_component_additions	-0.300379318390511	62
13	final_component_chr_splicing_1	-0.0694277495442919	14
14	final_component_chr_splicing_multiple	0.764214769940484	61
15	final_component_inv_3	0.160104587040689	60
16	final_component_not_assigned	-0.116337995235577	23
17	final_component_t_11	0.106152194884886	28
18	final_component_t_15_17	-0.332637530370866	88
19	final_component_t_8_21	-0.43629798380676	65
20	hb	-0.179896647184002	3
21	perf_status	8.80160557264568	100
22	plt	-120.689657386828	44
23	secondary	0.257987718764005	29
24	wbc	668.59250299486	100
