feature	coef	n
1	add_11	13.9327778048243	78
2	add_13	13.3906246957949	65
3	add_21	7.95966129076467	62
4	add_22	-21.5334480911166	77
5	add_8	4.11964552429928	49
6	age	3.7711160095877	100
7	complex	-10.8116142184035	36
8	del_12	0.565598708282192	67
9	del_13	-24.5889770796191	86
10	del_16	-2.4001318856535	68
11	del_17	10.7277040025354	73
12	del_18	-12.5956983789796	67
13	del_20	2.27609853768753	63
14	del_3	1.0085343807226	53
15	del_5	12.4054368887537	77
16	del_7	13.5090808896288	85
17	del_9	15.3465061346701	76
18	eln_adverse	10.2406546968662	83
19	eln_favorable	-49.1350917876418	100
20	eln_intermediate	0.314165187592281	6
21	final_component_BAGE3_KMT2C	12.8901319349362	51
22	final_component_CEBPA_bi	3.54783900166666	56
23	final_component_DNMT3A_IDH1_2	-32.3406144869804	94
24	final_component_KIT_NRAS	16.6679097965641	57
25	final_component_NPM1	3.32287044092877	25
26	final_component_TP53_complex	77.9479716419336	100
27	final_component_WT1_t_6_9_ITD	31.3383937252026	94
28	final_component_additions	-38.6747369597904	95
29	final_component_chr_splicing_1	-18.1716456712846	82
30	final_component_chr_splicing_multiple	5.61870197244497	53
31	final_component_inv_3	65.3646434866848	93
32	final_component_not_assigned	-20.918628158151	90
33	final_component_t_11	5.6416537859556	58
34	final_component_t_15_17	-137.54058305283	98
35	final_component_t_8_21	-10.2171439212084	55
36	minusy	-0.726028635270559	51
37	others_transloc	16.6075522124915	73
38	t_8_21	-34.5394314656232	99
39	t_v_11	12.4688564278465	61
