feature	coef	n
1	ASXL1	20.8915131571655	100
2	BCOR	-3.91742819864347	100
3	CBL	9.56944625845875	100
4	CEBPA_bi	-1.68672484528009	100
5	CEBPA_mono	-6.78743716527215	100
6	DNMT3A	15.7682728857166	100
7	EZH2	14.5405270066611	100
8	FLT3_TKD	0.738981083680573	100
9	FLT3_other	3.8793685192382	100
10	GATA2	-22.3207149630463	100
11	IDH1	-1.39481230413729	100
12	IDH2_p.R140	-0.503114640269372	100
13	IDH2_p.R172	-39.5397316299417	100
14	ITD	26.8551575283666	100
15	KIT	-2.43422979934123	100
16	KRAS	13.9924124447015	100
17	MLL	14.8051860209034	100
18	MYC	-9.27332512421335	100
19	NF1	10.2429004839271	100
20	NPM1	-2.72423777987883	100
21	NRAS_p.G12_13	11.2423744977207	100
22	NRAS_p.Q61_62	33.5005657359484	100
23	PHF6	-4.14956889825181	100
24	PTPN11	-20.3821325798545	100
25	RAD21	-11.1183810584392	100
26	RUNX1	-6.71379323655904	100
27	SF3B1	6.06984234454873	100
28	SMC1A	15.6222342603178	100
29	SMC3	-0.404330674329438	100
30	SRSF2	11.6101341508756	100
31	STAG2	-11.2763980686666	100
32	TET2	5.5672555795342	100
33	TP53	53.7969664173368	100
34	U2AF1_p.S34	4.47106672999872	100
35	WT1	22.8216940683808	100
36	age	3.34827394273272	100
37	eln_adverse	22.0201946401799	100
38	eln_favorable	-31.3825331373661	100
39	eln_intermediate	14.8320459650569	100
40	final_component_BAGE3_KMT2C	27.1300193409888	100
41	final_component_CEBPA_bi	15.290772807186	100
42	final_component_DNMT3A_IDH1_2	-27.4802647012402	100
43	final_component_KIT_NRAS	2.24852601095539	100
44	final_component_NPM1	-2.69600958064193	100
45	final_component_TP53_complex	55.8672085072607	100
46	final_component_WT1_t_6_9_ITD	20.2237816834275	100
47	final_component_additions	-40.9778558417947	100
48	final_component_chr_splicing_1	-18.2054689872916	100
49	final_component_chr_splicing_multiple	10.5454810492781	100
50	final_component_inv_3	98.5067490185046	100
51	final_component_not_assigned	-17.664143751887	100
52	final_component_t_11	18.5941431494925	100
53	final_component_t_15_17	-135.856292382477	100
54	final_component_t_8_21	-44.0923862539549	100
