feature	coef	n
1	ASXL1	9.56608103618638	76
2	BCOR	2.77958161280536	50
3	CBL	6.79774652352881	50
4	CEBPA_bi	3.81606686110333	29
5	CEBPA_mono	-3.77055529310239	47
6	DNMT3A	10.0210149825903	79
7	EZH2	5.78699924296349	46
8	FLT3_TKD	-3.4903215674656	52
9	FLT3_other	-0.596121332787924	45
10	GATA2	-14.7135954017756	75
11	IDH1	-1.06132658506894	51
12	IDH2_p.R140	1.26838318229286	46
13	IDH2_p.R172	-32.4656017070394	89
14	ITD	10.3011336217966	79
15	KIT	-2.21581401949388	35
16	KRAS	5.45516911135654	54
17	MLL	6.57750234015442	61
18	MYC	-2.0767246972832	39
19	NF1	7.07231012941425	55
20	NPM1	-0.308287391273196	8
21	NRAS_p.G12_13	3.39778484558215	50
22	NRAS_p.Q61_62	18.1651975502478	80
23	PHF6	-0.621348156002123	43
24	PTPN11	-10.0013746755696	68
25	RAD21	-1.71221993095888	42
26	RUNX1	-2.16953241918484	41
27	SF3B1	4.39763834420677	45
28	SMC1A	7.41690198423092	56
29	SMC3	1.35249612614192	37
30	SRSF2	1.83358152889191	36
31	STAG2	-3.81739303050005	48
32	TET2	1.13775614317332	47
33	TP53	42.8142487360591	100
34	U2AF1_p.S34	1.87454897611691	46
35	WT1	20.0794164713828	90
36	age	3.69567820747826	100
37	ahd	-31.2613671659852	100
38	bm_blasts	0.134168534508683	81
39	eln_adverse	9.79511255264416	79
40	eln_favorable	-49.7661602682186	100
41	eln_intermediate	0.085508855759261	4
42	final_component_BAGE3_KMT2C	1.74206087669193	44
43	final_component_CEBPA_bi	2.94058228013669	35
44	final_component_DNMT3A_IDH1_2	-9.5149675328316	56
45	final_component_KIT_NRAS	12.3380229393629	45
46	final_component_NPM1	-0.351412513580143	8
47	final_component_TP53_complex	61.6217597839778	100
48	final_component_WT1_t_6_9_ITD	22.7824019931375	86
49	final_component_additions	-26.7081645913277	90
50	final_component_chr_splicing_1	-6.21375294598211	53
51	final_component_chr_splicing_multiple	11.7158285106166	81
52	final_component_inv_3	78.6994694575179	90
53	final_component_not_assigned	-6.62482774219057	66
54	final_component_t_11	15.8933437700501	66
55	final_component_t_15_17	-104.100626544545	97
56	final_component_t_8_21	-22.891598954503	88
57	hb	0.0412280136999044	48
58	perf_status	17.0127783872041	100
59	plt	-0.031876138725465	71
60	secondary	3.00216090190846	65
61	wbc	0.252682251726986	100
