feature	coef	n
1	eln_adverse	31.7151845410111	100
2	eln_favorable	-39.9360842263726	100
3	eln_intermediate	13.8729623796024	100
4	final_component_BAGE3_KMT2C	-15.833304320518	100
5	final_component_CEBPA_bi	-14.5925167089023	100
6	final_component_DNMT3A_IDH1_2	-25.565871451433	100
7	final_component_KIT_NRAS	-31.9313220899671	100
8	final_component_NPM1	8.71721682785253	100
9	final_component_TP53_complex	82.3505378495334	100
10	final_component_WT1_t_6_9_ITD	9.18191876035182	100
11	final_component_additions	-60.6352386719017	100
12	final_component_chr_splicing_1	-23.7556986766615	100
13	final_component_chr_splicing_multiple	25.5157701204702	100
14	final_component_inv_3	59.5195639787479	100
15	final_component_not_assigned	-43.7942713584328	100
16	final_component_t_11	-28.3094752135901	100
17	final_component_t_15_17	-161.635426829933	100
18	final_component_t_8_21	-67.7874012009561	100
