feature	coef	n
1	add_11	16.3126854923668	77
2	add_13	10.435168520251	69
3	add_21	11.3451423781408	69
4	add_22	-25.1860895645296	85
5	add_8	5.69247260939738	59
6	complex	-7.84156665013024	29
7	del_12	-6.21750236172663	69
8	del_13	-26.7992603573319	90
9	del_16	3.06336537413147	72
10	del_17	18.409091859328	82
11	del_18	-20.5718609737041	75
12	del_20	7.68884559823698	69
13	del_3	3.06556584463703	66
14	del_5	25.4924299925293	95
15	del_7	12.8682205034366	87
16	del_9	10.1929636577948	60
17	eln_adverse	14.3268744413583	92
18	eln_favorable	-48.0814091223393	100
19	eln_intermediate	0.0847762526505004	3
20	final_component_BAGE3_KMT2C	-0.159895840006639	68
21	final_component_CEBPA_bi	-8.77312147767777	42
22	final_component_DNMT3A_IDH1_2	-15.2072178169032	79
23	final_component_KIT_NRAS	-17.621415785833	59
24	final_component_NPM1	11.0988170903517	73
25	final_component_TP53_complex	84.2783696384133	100
26	final_component_WT1_t_6_9_ITD	13.9202476104526	72
27	final_component_additions	-49.3373876784171	98
28	final_component_chr_splicing_1	-13.0283669068261	81
29	final_component_chr_splicing_multiple	34.4663039142319	100
30	final_component_inv_3	52.4884448689227	98
31	final_component_not_assigned	-35.3247093121083	99
32	final_component_t_11	-15.9040585128775	63
33	final_component_t_15_17	-149.713741663859	99
34	final_component_t_8_21	-16.282829330105	55
35	minusy	6.6819258247845	60
36	others_transloc	11.2089515597542	63
37	t_8_21	-52.8354880244621	98
38	t_v_11	-0.935761858863473	45
