feature	coef	n
1	add_11	15.8970715583245	77
2	add_13	10.2911448765993	68
3	add_21	11.0649925271149	68
4	add_22	-25.1975763700622	85
5	add_8	5.57725166080015	59
6	complex	-8.17939570813092	30
7	del_12	-6.24542376668573	69
8	del_13	-26.6623910102207	89
9	del_16	3.15437034403325	71
10	del_17	17.9143382183459	81
11	del_18	-20.5501927379244	76
12	del_20	7.56554904437088	69
13	del_3	2.8533580086084	62
14	del_5	25.066871151881	95
15	del_7	12.6765604256484	85
16	del_9	9.84721572026775	57
17	eln_adverse	14.0472644871691	92
18	eln_favorable	-48.5982622263666	100
19	eln_intermediate	0.0588690359274362	1
20	final_component_BAGE3_KMT2C	-0.219665046811707	63
21	final_component_CEBPA_bi	-8.2835006589998	39
22	final_component_DNMT3A_IDH1_2	-14.3706868122328	75
23	final_component_KIT_NRAS	-15.9038008121315	59
24	final_component_NPM1	12.1632460632073	72
25	final_component_TP53_complex	86.532326269938	100
26	final_component_WT1_t_6_9_ITD	14.4732307479982	71
27	final_component_additions	-48.1114033632072	98
28	final_component_chr_splicing_1	-12.1559910524876	75
29	final_component_chr_splicing_multiple	35.4386497051433	99
30	final_component_inv_3	53.0768839538957	98
31	final_component_not_assigned	-34.4691910046226	98
32	final_component_t_11	-15.1484501168964	56
33	final_component_t_15_17	-150.126975845764	98
34	final_component_t_8_21	-18.8308163996485	41
35	minusy	6.6230302184592	60
36	others_transloc	11.1434083353268	61
37	t_8_21	-49.0822699977178	92
38	t_v_11	-0.940252233169757	44
