feature	coef	n
1	add_11	21.0297976553014	100
2	add_13	10.246628537688	100
3	add_21	12.9366932583204	100
4	add_22	-25.5244217667875	100
5	add_8	7.68395055576715	100
6	complex	-9.17124929425624	100
7	del_12	-5.00818019357597	100
8	del_13	-28.2015555338681	100
9	del_16	3.64419091434322	100
10	del_17	21.7966003987912	100
11	del_18	-22.593517286578	100
12	del_20	8.12679290090405	100
13	del_3	3.69889653608662	100
14	del_5	30.7094115193797	100
15	del_7	19.0239176041047	100
16	del_9	13.1647665762048	100
17	eln_adverse	34.1024742441934	100
18	eln_favorable	-41.9229751407304	100
19	eln_intermediate	15.5232451735558	100
20	final_component_BAGE3_KMT2C	5.65212874135254	100
21	final_component_CEBPA_bi	4.67672546470749	100
22	final_component_DNMT3A_IDH1_2	-12.1891916364404	100
23	final_component_KIT_NRAS	-0.915066783774827	100
24	final_component_NPM1	30.8300424017378	100
25	final_component_TP53_complex	81.4710290993206	100
26	final_component_WT1_t_6_9_ITD	23.3562459704888	100
27	final_component_additions	-38.6666992441977	100
28	final_component_chr_splicing_1	-9.32631799254962	100
29	final_component_chr_splicing_multiple	41.7543586758718	100
30	final_component_inv_3	35.702554249826	100
31	final_component_not_assigned	-27.5113176031012	100
32	final_component_t_11	-10.3389456694352	100
33	final_component_t_15_17	-61.7428694653218	100
34	final_component_t_8_21	-24.238954823398	100
35	minusy	9.61989408439509	100
36	others_transloc	10.7775200326011	100
37	t_8_21	-31.2816274978244	100
38	t_v_11	0.673119512451112	100
