feature	coef	n
1	add_11	15.5682385048841	76
2	add_13	10.4657626815544	67
3	add_21	10.9875801017721	66
4	add_22	-24.2876983288474	86
5	add_8	5.28055868073572	61
6	complex	-8.56425848789267	32
7	del_12	-6.10667304474574	67
8	del_13	-26.3789604703517	87
9	del_16	3.00727151268931	68
10	del_17	18.3396494194094	80
11	del_18	-20.421534356923	74
12	del_20	7.50024339609909	71
13	del_3	2.47327780386781	63
14	del_5	25.02027732382	95
15	del_7	12.8137303014649	86
16	del_9	9.09892340327154	55
17	eln_adverse	13.8980514336148	89
18	eln_favorable	-48.4646665188729	100
19	eln_intermediate	0.0605405980983371	1
20	final_component_BAGE3_KMT2C	0.944963575627423	64
21	final_component_CEBPA_bi	-8.45843393930619	38
22	final_component_DNMT3A_IDH1_2	-13.6895747619632	73
23	final_component_KIT_NRAS	-15.6521071576015	60
24	final_component_NPM1	12.3725334465718	72
25	final_component_TP53_complex	86.4053838416911	100
26	final_component_WT1_t_6_9_ITD	14.3361534703586	70
27	final_component_additions	-48.2488592972301	98
28	final_component_chr_splicing_1	-12.0440297500873	74
29	final_component_chr_splicing_multiple	34.58665577607	99
30	final_component_inv_3	52.8953721592516	98
31	final_component_not_assigned	-34.6188428519442	98
32	final_component_t_11	-14.3956898905254	57
33	final_component_t_15_17	-149.317304626306	98
34	final_component_t_8_21	-19.1826579904093	42
35	gender	3.99547561805212	74
36	minusy	5.25257360918011	58
37	others_transloc	11.6078542828357	61
38	t_8_21	-48.3502753838125	91
39	t_v_11	-1.10197619089733	43
