feature	coef	n
1	ASXL1	14.2319900509888	100
2	BCOR	4.1667862246714	100
3	CBL	9.25518389210085	100
4	CEBPA_bi	2.76900508326143	100
5	CEBPA_mono	-0.8853340703165	100
6	DNMT3A	17.9892242913961	100
7	EZH2	16.0772143990782	100
8	FLT3_TKD	-0.35403948175011	100
9	FLT3_other	0.92030633327883	100
10	GATA2	-8.09700134318177	100
11	IDH1	3.76953233655026	100
12	IDH2_p.R140	15.159892262542	100
13	IDH2_p.R172	-11.5396207735386	100
14	ITD	10.586320693275	100
15	KIT	-7.35085519476562	100
16	KRAS	2.55842345465069	100
17	MLL	7.97747056370337	100
18	MYC	-6.67882894834998	100
19	NF1	-2.39291386580754	100
20	NPM1	7.94093625289996	100
21	NRAS_p.G12_13	0.76688839408622	100
22	NRAS_p.Q61_62	19.0149647545296	100
23	PHF6	4.78635500188647	100
24	PTPN11	-13.825009169014	100
25	RAD21	-6.60262459463218	100
26	RUNX1	-2.87023544090385	100
27	SF3B1	26.2574630653765	100
28	SMC1A	16.3777455865965	100
29	SMC3	7.14030876176527	100
30	SRSF2	19.0772332036099	100
31	STAG2	-0.576605604912812	100
32	TET2	23.3310099957062	100
33	TP53	48.6423032357347	100
34	U2AF1_p.S34	16.7659699855905	100
35	WT1	18.5456519083893	100
36	add_11	18.4003561083422	100
37	add_13	5.55176586129805	100
38	add_21	7.56018022626039	100
39	add_22	-19.2811593417034	100
40	add_8	4.39355470436966	100
41	ahd	-36.1011293663681	100
42	bm_blasts	0.169161809068253	100
43	complex	4.9358700882181	100
44	del_12	6.29988244356389	100
45	del_13	-24.5550060534333	100
46	del_16	0.231233699749316	100
47	del_17	20.9819242733828	100
48	del_18	-15.994881281894	100
49	del_20	5.06746597456103	100
50	del_3	-0.642814435054557	100
51	del_5	24.6751368172846	100
52	del_7	21.9873167943228	100
53	del_9	11.9575595322055	100
54	eln_adverse	32.4862228034863	100
55	eln_favorable	-31.6830987786381	100
56	eln_intermediate	15.1456140516261	100
57	final_component_BAGE3_KMT2C	1.33050331274149	100
58	final_component_CEBPA_bi	6.14400341033923	100
59	final_component_DNMT3A_IDH1_2	-8.29178032048976	100
60	final_component_KIT_NRAS	6.06074630231592	100
61	final_component_NPM1	7.94093625289996	100
62	final_component_TP53_complex	51.6287730639477	100
63	final_component_WT1_t_6_9_ITD	23.9495086335618	100
64	final_component_additions	-20.3147523399579	100
65	final_component_chr_splicing_1	-1.71285891584015	100
66	final_component_chr_splicing_multiple	29.2921874980639	100
67	final_component_inv_3	25.3874188485279	100
68	final_component_not_assigned	-7.24111368744394	100
69	final_component_t_11	5.24047733727035	100
70	final_component_t_15_17	-25.6598870589802	100
71	final_component_t_8_21	-14.0104719545928	100
72	gender	1.6820129145755	100
73	hb	-0.0490778249693357	100
74	minusy	8.07452326062131	100
75	others_transloc	11.4125302991153	100
76	perf_status	26.871974265823	100
77	plt	-0.0363482519044585	100
78	secondary	15.4615376139172	100
79	t_8_21	-17.1324513165111	100
80	t_v_11	-0.15115758900943	100
81	wbc	0.218427135603269	100
