feature	coef	n
1	ASXL1	16.695934011125	93
2	BCOR	-2.16152593214689	48
3	CBL	5.52240296810557	51
4	CEBPA_bi	2.6119723778983	31
5	CEBPA_mono	-5.13378503747102	52
6	DNMT3A	11.1134738857085	83
7	EZH2	8.63366332492635	57
8	FLT3_TKD	0.39926276226022	55
9	FLT3_other	2.29088574572273	51
10	GATA2	-15.1377756794888	78
11	IDH1	-0.606461082714459	52
12	IDH2_p.R140	-0.615885558540574	46
13	IDH2_p.R172	-37.122929613619	92
14	ITD	26.0622360665553	100
15	KIT	-0.945003313095732	37
16	KRAS	11.0334249690374	68
17	MLL	10.3264270960391	79
18	MYC	-2.17286922206253	46
19	NF1	8.37509524934584	57
20	NPM1	-0.100677585315797	4
21	NRAS_p.G12_13	8.4948968108945	76
22	NRAS_p.Q61_62	28.1966609016005	92
23	PHF6	-2.64417447750415	52
24	PTPN11	-13.6267900735766	76
25	RAD21	-5.99742351009783	61
26	RUNX1	-2.60604732941444	45
27	SF3B1	2.55983909856202	52
28	SMC1A	9.35179427133317	70
29	SMC3	-0.0748887936529839	42
30	SRSF2	4.47545717707172	57
31	STAG2	-6.61397466209801	61
32	TET2	2.43630749546715	50
33	TP53	51.1133061326382	99
34	U2AF1_p.S34	1.90853486809912	49
35	WT1	21.2229716460769	93
36	age	3.88629797196459	100
37	eln_adverse	7.64461267383788	63
38	eln_favorable	-46.7957026334844	100
39	eln_intermediate	0.67672896724397	10
40	final_component_BAGE3_KMT2C	18.7143521311885	48
41	final_component_CEBPA_bi	8.8415103527929	49
42	final_component_DNMT3A_IDH1_2	-16.5427791311377	75
43	final_component_KIT_NRAS	8.90104467604567	46
44	final_component_NPM1	-0.117474054877758	5
45	final_component_TP53_complex	57.2641284285438	100
46	final_component_WT1_t_6_9_ITD	18.8927786620067	82
47	final_component_additions	-29.7574203988687	91
48	final_component_chr_splicing_1	-10.2325173565702	66
49	final_component_chr_splicing_multiple	9.87181340873799	69
50	final_component_inv_3	89.3964910449724	96
51	final_component_not_assigned	-9.66488740431138	68
52	final_component_t_11	19.8633956382269	79
53	final_component_t_15_17	-123.000225176006	100
54	final_component_t_8_21	-31.3260832322171	94
55	gender	2.86061209169215	64
