feature	coef	n
1	ASXL1	20.2150525952543	100
2	BCOR	-7.12397592288215	100
3	CBL	7.49010987679325	100
4	CEBPA_bi	-12.6884000095663	100
5	CEBPA_mono	-3.41489078448806	100
6	DNMT3A	15.5897266149804	100
7	EZH2	21.2050357081631	100
8	FLT3_TKD	2.81937778154113	100
9	FLT3_other	3.76217236475076	100
10	GATA2	-13.6203791788603	100
11	IDH1	-0.786229108694363	100
12	IDH2_p.R140	6.9209831969307	100
13	IDH2_p.R172	-28.9484532513763	100
14	ITD	19.6318345258404	100
15	KIT	-14.6689754964839	100
16	KRAS	8.388793384966	100
17	MLL	8.51831181726197	100
18	MYC	-18.5668430290277	100
19	NF1	-2.02400971918855	100
20	NPM1	-0.48480821590456	100
21	NRAS_p.G12_13	2.69512397886375	100
22	NRAS_p.Q61_62	23.3884803926495	100
23	PHF6	-5.7903348745741	100
24	PTPN11	-21.8122554415428	100
25	RAD21	-16.2724756204037	100
26	RUNX1	-2.72701626963181	100
27	SF3B1	26.0053685741654	100
28	SMC1A	23.2429158271286	100
29	SMC3	-0.467001223241938	100
30	SRSF2	23.6756495267802	100
31	STAG2	-4.19852840963927	100
32	TET2	21.6665185044732	100
33	TP53	58.5034086106977	100
34	U2AF1_p.S34	18.1282360900272	100
35	WT1	12.9278630361659	100
36	eln_adverse	24.1433860838996	100
37	eln_favorable	-29.6865745176568	100
38	eln_intermediate	9.16727257884516	100
39	final_component_BAGE3_KMT2C	-1.03353092214545	100
40	final_component_CEBPA_bi	2.54581461167075	100
41	final_component_DNMT3A_IDH1_2	-20.2464192305331	100
42	final_component_KIT_NRAS	-14.9975654163251	100
43	final_component_NPM1	-0.309796114215988	100
44	final_component_TP53_complex	57.820143261565	100
45	final_component_WT1_t_6_9_ITD	12.5901820117121	100
46	final_component_additions	-41.5216172046618	100
47	final_component_chr_splicing_1	-16.900484317659	100
48	final_component_chr_splicing_multiple	19.5458814550577	100
49	final_component_inv_3	73.1715683971396	100
50	final_component_not_assigned	-25.3845507937336	100
51	final_component_t_11	-7.89523771069207	100
52	final_component_t_15_17	-115.091204419343	100
53	final_component_t_8_21	-50.7663148141454	100
54	gender	2.74557058480325	100
