feature	coef	n
1	add_11	21.9960048321733	100
2	add_13	3.7898550836178	100
3	add_21	0.246307236352233	100
4	add_22	-16.3256056051021	100
5	add_8	-0.600395065863251	100
6	age	4.02340309932172	100
7	complex	22.4803857446099	100
8	del_12	10.8186903656651	100
9	del_13	-15.3257508684186	100
10	del_16	2.57601171794186	100
11	del_17	23.6945459191096	100
12	del_18	-1.76913519395146	100
13	del_20	3.7568952530261	100
14	del_3	5.6033985149823	100
15	del_5	29.717688944815	100
16	del_7	18.9102402009437	100
17	del_9	15.8525790421567	100
18	eln_adverse	32.2572505588249	100
19	eln_favorable	-24.7497610195681	100
20	eln_intermediate	11.7082040966007	100
21	gender	6.21171428610261	100
22	minusy	-1.3692058430767	100
23	others_transloc	14.2668938055749	100
24	t_8_21	-30.3696140289157	100
25	t_v_11	22.7301792218865	100
