feature	coef	n
1	ASXL1	0.221201535187929	35
2	BCOR	0.0573857347796653	18
3	CBL	0.0188617678208792	7
4	CEBPA_bi	-0.0223162970324957	8
5	CEBPA_mono	-0.010087132754002	8
6	DNMT3A	1.10996127077183	69
7	EZH2	0.158556295901885	33
8	FLT3_TKD	-0.0130534218387848	7
9	FLT3_other	0.0132055003538028	4
10	GATA2	-0.0904937969640255	27
11	IDH1	0.0154440919992194	8
12	IDH2_p.R140	0.228432302612022	32
13	IDH2_p.R172	-0.289114946786759	56
14	ITD	0.896010087476331	61
15	KIT	-0.252572862420532	47
16	KRAS	0.0285780582935341	10
17	MLL	0.0420907238364859	13
18	MYC	-0.0318981159211262	11
19	NF1	-0.00984215140327473	5
20	NPM1	0.0375185900039344	3
21	NRAS_p.G12_13	-0.0215300967299065	8
22	NRAS_p.Q61_62	0.0669251459818287	15
23	PHF6	0.0113572411355091	4
24	PTPN11	-0.27037530530542	37
25	RAD21	-0.106432012278191	27
26	RUNX1	0.0888022704398581	11
27	SF3B1	0.273879038744402	56
28	SMC1A	0.0779670609678834	28
29	SMC3	0.000973667901192729	1
30	SRSF2	1.41142486700678	92
31	STAG2	0.028207989774421	10
32	TET2	1.94762621900803	91
33	TP53	6.47085571212266	100
34	U2AF1_p.S34	0.211100345456808	50
35	WT1	0.239742938189437	39
36	ahd	-3.1821166800328	100
37	bm_blasts	1.51691561989003	5
38	eln_adverse	8.56046891230285	100
39	eln_favorable	-7.55542071262281	100
40	hb	-3.33292375806165	11
41	perf_status	12.6512728510801	100
42	plt	-73.714374324647	33
43	secondary	2.49019609386145	92
44	wbc	412.109356749551	99
