feature	coef	n
1	ASXL1	13.7403868840745	100
2	BCOR	9.16761297804661	100
3	CBL	9.79404116468269	100
4	CEBPA_bi	3.13224373842033	100
5	CEBPA_mono	-4.01188572239214	100
6	DNMT3A	14.8888830339637	100
7	EZH2	21.9056655249863	100
8	FLT3_TKD	-4.69475347534648	100
9	FLT3_other	-0.871490850190539	100
10	GATA2	-14.4763845884237	100
11	IDH1	-1.04005504070183	100
12	IDH2_p.R140	9.95907648745833	100
13	IDH2_p.R172	-32.0669153206034	100
14	ITD	9.84943134129525	100
15	KIT	-22.5631340224239	100
16	KRAS	2.81333908879227	100
17	MLL	6.11041798568249	100
18	MYC	-17.8195795417191	100
19	NF1	-1.57591504946308	100
20	NPM1	9.00347974966993	100
21	NRAS_p.G12_13	-1.98756819141374	100
22	NRAS_p.Q61_62	17.4524895366342	100
23	PHF6	6.93550563299521	100
24	PTPN11	-15.2441882309373	100
25	RAD21	-15.9044782800856	100
26	RUNX1	-0.238834171174821	100
27	SF3B1	37.0739108676333	100
28	SMC1A	18.3834039485464	100
29	SMC3	6.70133339551743	100
30	SRSF2	20.9573850896682	100
31	STAG2	3.77183966539548	100
32	TET2	20.8685634384842	100
33	TP53	98.8223707320082	100
34	U2AF1_p.S34	27.5030430862863	100
35	WT1	22.3658501006882	100
36	ahd	-42.8494157062952	100
37	bm_blasts	0.085366578793312	100
38	eln_adverse	35.1590041217982	100
39	eln_favorable	-36.400775606599	100
40	eln_intermediate	3.42623784278196	100
41	hb	-0.0535305341240993	100
42	perf_status	23.4832047725771	100
43	plt	-0.0396723342972591	100
44	secondary	14.0469967058012	100
45	wbc	0.182644684568554	100
