feature	coef	n
1	ASXL1	0.117935549392188	24
2	BCOR	0.00754998915161619	6
3	CBL	0.00408694222210005	2
4	CEBPA_bi	-0.0012768501319552	1
5	CEBPA_mono	-0.03274189009133	8
6	DNMT3A	0.103618289575707	13
7	EZH2	0.0207865206287666	6
8	FLT3_TKD	-0.0395465431878458	9
9	FLT3_other	-0.00134179613372899	1
10	GATA2	-0.0715856837103765	24
11	IDH1	-0.0130296736768538	5
12	IDH2_p.R140	0.0117080649300042	1
13	IDH2_p.R172	-0.420823785033348	72
14	ITD	0.83472970448486	60
15	KIT	-0.0226331344098503	3
16	KRAS	0.0418557899125729	12
17	MLL	0.0470028298083583	15
18	MYC	-0.00227554581716496	1
19	NF1	0.0128978750551533	5
20	NRAS_p.G12_13	0.0200588860539847	5
21	NRAS_p.Q61_62	0.114082941826772	25
22	PHF6	0.00633263264235334	3
23	PTPN11	-0.11783647108403	18
24	RAD21	-0.0104585962138394	5
25	RUNX1	0.00245191071096156	1
26	SF3B1	0.072521949882416	20
27	SMC1A	0.022311070055642	9
28	SRSF2	0.00493002150484414	4
29	STAG2	-0.00719481748595165	3
30	TET2	0.0301339757228248	4
31	TP53	5.1678370754432	100
32	U2AF1_p.S34	0.0179821411425654	6
33	WT1	0.559899868119161	64
34	add_11	0.164903413365497	40
35	add_13	0.0225191765018437	11
36	add_21	0.0058936360973069	2
37	add_22	-0.0933592286988517	35
38	add_8	0.00671149061362112	1
39	age	803.69536747937	100
40	ahd	-2.13002961146777	100
41	bm_blasts	2.7506955602331	7
42	complex	0.247645286397349	26
43	del_12	0.0594078826507311	20
44	del_13	-0.0517803511074194	29
45	del_16	0.0079766088333303	4
46	del_17	0.219375622413351	47
47	del_18	-0.00451929096118984	3
48	del_20	0.0200436749473791	8
49	del_3	0.00446618635306858	2
50	del_5	0.244741982806422	36
51	del_7	0.637950149124098	72
52	del_9	0.0142989115906591	5
53	eln_adverse	4.88823312561344	100
54	eln_favorable	-8.96628756309156	100
55	gender	0.0892081192692466	12
56	hb	0.339645491137091	2
57	minusy	-0.0259375501194172	6
58	others_transloc	0.0449051683396297	13
59	perf_status	8.37788063263725	99
60	plt	-52.8032759215803	33
61	secondary	0.275858888809619	29
62	t_8_21	-0.403395217522097	59
63	t_v_11	0.0631459980425743	16
64	wbc	614.902950741136	100
