feature	ref_CI	permuted_CI	algo	model
1	gender	0.679918612599151	0.679918612599151	Lasso	demo
2	gender	0.679918612599151	0.679918612599151	Lasso	demo
3	gender	0.679918612599151	0.679918612599151	Lasso	demo
4	gender	0.679918612599151	0.679918612599151	Lasso	demo
5	age	0.679918612599151	0.488507208825446	Lasso	demo
6	age	0.679918612599151	0.534557853407303	Lasso	demo
7	age	0.679918612599151	0.52114959703699	Lasso	demo
8	age	0.679918612599151	0.484469630736461	Lasso	demo
9	gender	0.662343535492207	0.662343535492207	Lasso	demo
10	gender	0.662343535492207	0.662343535492207	Lasso	demo
11	gender	0.662343535492207	0.662343535492207	Lasso	demo
12	gender	0.662343535492207	0.662343535492207	Lasso	demo
13	age	0.662343535492207	0.529613179358798	Lasso	demo
14	age	0.662343535492207	0.505063393361867	Lasso	demo
15	age	0.662343535492207	0.528708713558911	Lasso	demo
16	age	0.662343535492207	0.523895663409513	Lasso	demo
17	gender	0.684233940799822	0.684233940799822	Lasso	demo
18	gender	0.684233940799822	0.684233940799822	Lasso	demo
19	gender	0.684233940799822	0.684233940799822	Lasso	demo
20	gender	0.684233940799822	0.684233940799822	Lasso	demo
21	age	0.684233940799822	0.511566755112093	Lasso	demo
22	age	0.684233940799822	0.505028678561782	Lasso	demo
23	age	0.684233940799822	0.511161600915172	Lasso	demo
24	age	0.684233940799822	0.480624096347257	Lasso	demo
25	gender	0.660490639122014	0.660490639122014	Lasso	demo
26	gender	0.660490639122014	0.660490639122014	Lasso	demo
27	gender	0.660490639122014	0.660490639122014	Lasso	demo
28	gender	0.660490639122014	0.660490639122014	Lasso	demo
29	age	0.660490639122014	0.485482569399613	Lasso	demo
30	age	0.660490639122014	0.429260813428018	Lasso	demo
31	age	0.660490639122014	0.479728857327308	Lasso	demo
32	age	0.660490639122014	0.532835700451904	Lasso	demo
33	gender	0.700368615060558	0.700368615060558	Lasso	demo
34	gender	0.700368615060558	0.700368615060558	Lasso	demo
35	gender	0.700368615060558	0.700368615060558	Lasso	demo
