feature	ref_CI	permuted_CI	algo	model
1	eln_2017_ratio	0.70944538937195	0.69354941264366	Lasso	eln_comp_age
2	eln_2017_ratio	0.70944538937195	0.686682350697039	Lasso	eln_comp_age
3	eln_2017_ratio	0.70944538937195	0.683852866839403	Lasso	eln_comp_age
4	eln_2017_ratio	0.70944538937195	0.699812427474606	Lasso	eln_comp_age
5	final_component_additions	0.70944538937195	0.70944538937195	Lasso	eln_comp_age
6	final_component_additions	0.70944538937195	0.70944538937195	Lasso	eln_comp_age
7	final_component_additions	0.70944538937195	0.70944538937195	Lasso	eln_comp_age
8	final_component_additions	0.70944538937195	0.70944538937195	Lasso	eln_comp_age
9	final_component_BAGE3_KMT2C	0.70944538937195	0.70944538937195	Lasso	eln_comp_age
10	final_component_BAGE3_KMT2C	0.70944538937195	0.70944538937195	Lasso	eln_comp_age
11	final_component_BAGE3_KMT2C	0.70944538937195	0.70944538937195	Lasso	eln_comp_age
12	final_component_BAGE3_KMT2C	0.70944538937195	0.70944538937195	Lasso	eln_comp_age
13	final_component_CEBPA_bi	0.70944538937195	0.70944538937195	Lasso	eln_comp_age
14	final_component_CEBPA_bi	0.70944538937195	0.70944538937195	Lasso	eln_comp_age
15	final_component_CEBPA_bi	0.70944538937195	0.70944538937195	Lasso	eln_comp_age
16	final_component_CEBPA_bi	0.70944538937195	0.70944538937195	Lasso	eln_comp_age
17	final_component_chr_splicing_1	0.70944538937195	0.70944538937195	Lasso	eln_comp_age
18	final_component_chr_splicing_1	0.70944538937195	0.70944538937195	Lasso	eln_comp_age
19	final_component_chr_splicing_1	0.70944538937195	0.70944538937195	Lasso	eln_comp_age
20	final_component_chr_splicing_1	0.70944538937195	0.70944538937195	Lasso	eln_comp_age
21	final_component_chr_splicing_multiple	0.70944538937195	0.709969956603984	Lasso	eln_comp_age
22	final_component_chr_splicing_multiple	0.70944538937195	0.709151313802477	Lasso	eln_comp_age
23	final_component_chr_splicing_multiple	0.70944538937195	0.709683829022874	Lasso	eln_comp_age
24	final_component_chr_splicing_multiple	0.70944538937195	0.70954076523232	Lasso	eln_comp_age
25	final_component_DNMT3A_IDH1_2	0.70944538937195	0.70944538937195	Lasso	eln_comp_age
26	final_component_DNMT3A_IDH1_2	0.70944538937195	0.70944538937195	Lasso	eln_comp_age
27	final_component_DNMT3A_IDH1_2	0.70944538937195	0.70944538937195	Lasso	eln_comp_age
28	final_component_DNMT3A_IDH1_2	0.70944538937195	0.70944538937195	Lasso	eln_comp_age
29	final_component_inv_3	0.70944538937195	0.70944538937195	Lasso	eln_comp_age
30	final_component_inv_3	0.70944538937195	0.70944538937195	Lasso	eln_comp_age
31	final_component_inv_3	0.70944538937195	0.70944538937195	Lasso	eln_comp_age
32	final_component_inv_3	0.70944538937195	0.70944538937195	Lasso	eln_comp_age
33	final_component_KIT_NRAS	0.70944538937195	0.70944538937195	Lasso	eln_comp_age
34	final_component_KIT_NRAS	0.70944538937195	0.70944538937195	Lasso	eln_comp_age
35	final_component_KIT_NRAS	0.70944538937195	0.70944538937195	Lasso	eln_comp_age
36	final_component_KIT_NRAS	0.70944538937195	0.70944538937195	Lasso	eln_comp_age
37	final_component_not_assigned	0.70944538937195	0.710415043952376	Lasso	eln_comp_age
38	final_component_not_assigned	0.70944538937195	0.70990637269707	Lasso	eln_comp_age
39	final_component_not_assigned	0.70944538937195	0.709278481616303	Lasso	eln_comp_age
40	final_component_not_assigned	0.70944538937195	0.709731516953059	Lasso	eln_comp_age
41	final_component_NPM1	0.70944538937195	0.70944538937195	Lasso	eln_comp_age
42	final_component_NPM1	0.70944538937195	0.70944538937195	Lasso	eln_comp_age
43	final_component_NPM1	0.70944538937195	0.70944538937195	Lasso	eln_comp_age
44	final_component_NPM1	0.70944538937195	0.70944538937195	Lasso	eln_comp_age
45	final_component_t_11	0.70944538937195	0.70944538937195	Lasso	eln_comp_age
46	final_component_t_11	0.70944538937195	0.70944538937195	Lasso	eln_comp_age
47	final_component_t_11	0.70944538937195	0.70944538937195	Lasso	eln_comp_age
48	final_component_t_11	0.70944538937195	0.70944538937195	Lasso	eln_comp_age
49	final_component_t_15_17	0.70944538937195	0.708173711233687	Lasso	eln_comp_age
50	final_component_t_15_17	0.70944538937195	0.708809550302818	Lasso	eln_comp_age
51	final_component_t_15_17	0.70944538937195	0.708666486512264	Lasso	eln_comp_age
52	final_component_t_15_17	0.70944538937195	0.708491630768253	Lasso	eln_comp_age
53	final_component_t_8_21	0.70944538937195	0.708873134209732	Lasso	eln_comp_age
54	final_component_t_8_21	0.70944538937195	0.709206949721026	Lasso	eln_comp_age
55	final_component_t_8_21	0.70944538937195	0.709286429604667	Lasso	eln_comp_age
56	final_component_t_8_21	0.70944538937195	0.709095677883928	Lasso	eln_comp_age
57	final_component_TP53_complex	0.70944538937195	0.699279912254208	Lasso	eln_comp_age
58	final_component_TP53_complex	0.70944538937195	0.691053744297318	Lasso	eln_comp_age
59	final_component_TP53_complex	0.70944538937195	0.690044349775072	Lasso	eln_comp_age
60	final_component_TP53_complex	0.70944538937195	0.696657076094041	Lasso	eln_comp_age
61	final_component_WT1_t_6_9_ITD	0.70944538937195	0.709127469837384	Lasso	eln_comp_age
62	final_component_WT1_t_6_9_ITD	0.70944538937195	0.709461285348678	Lasso	eln_comp_age
63	final_component_WT1_t_6_9_ITD	0.70944538937195	0.709715620976331	Lasso	eln_comp_age
64	final_component_WT1_t_6_9_ITD	0.70944538937195	0.709191053744297	Lasso	eln_comp_age
65	age	0.70944538937195	0.57715907103912	Lasso	eln_comp_age
66	age	0.70944538937195	0.607448854694877	Lasso	eln_comp_age
67	age	0.70944538937195	0.601662719165779	Lasso	eln_comp_age
68	age	0.70944538937195	0.573677852135624	Lasso	eln_comp_age
69	eln_2017_ratio	0.681765323427279	0.666744730679157	Lasso	eln_comp_age
70	eln_2017_ratio	0.681765323427279	0.656763304530405	Lasso	eln_comp_age
71	eln_2017_ratio	0.681765323427279	0.661745942017282	Lasso	eln_comp_age
72	eln_2017_ratio	0.681765323427279	0.662327384317209	Lasso	eln_comp_age
73	final_component_additions	0.681765323427279	0.681765323427279	Lasso	eln_comp_age
74	final_component_additions	0.681765323427279	0.681765323427279	Lasso	eln_comp_age
75	final_component_additions	0.681765323427279	0.681765323427279	Lasso	eln_comp_age
76	final_component_additions	0.681765323427279	0.681765323427279	Lasso	eln_comp_age
77	final_component_BAGE3_KMT2C	0.681765323427279	0.681765323427279	Lasso	eln_comp_age
78	final_component_BAGE3_KMT2C	0.681765323427279	0.681765323427279	Lasso	eln_comp_age
79	final_component_BAGE3_KMT2C	0.681765323427279	0.681765323427279	Lasso	eln_comp_age
80	final_component_BAGE3_KMT2C	0.681765323427279	0.681765323427279	Lasso	eln_comp_age
81	final_component_CEBPA_bi	0.681765323427279	0.681765323427279	Lasso	eln_comp_age
82	final_component_CEBPA_bi	0.681765323427279	0.681765323427279	Lasso	eln_comp_age
83	final_component_CEBPA_bi	0.681765323427279	0.681765323427279	Lasso	eln_comp_age
84	final_component_CEBPA_bi	0.681765323427279	0.681765323427279	Lasso	eln_comp_age
85	final_component_chr_splicing_1	0.681765323427279	0.681765323427279	Lasso	eln_comp_age
86	final_component_chr_splicing_1	0.681765323427279	0.681765323427279	Lasso	eln_comp_age
87	final_component_chr_splicing_1	0.681765323427279	0.681765323427279	Lasso	eln_comp_age
88	final_component_chr_splicing_1	0.681765323427279	0.681765323427279	Lasso	eln_comp_age
89	final_component_chr_splicing_multiple	0.681765323427279	0.681765323427279	Lasso	eln_comp_age
90	final_component_chr_splicing_multiple	0.681765323427279	0.681765323427279	Lasso	eln_comp_age
91	final_component_chr_splicing_multiple	0.681765323427279	0.681765323427279	Lasso	eln_comp_age
92	final_component_chr_splicing_multiple	0.681765323427279	0.681765323427279	Lasso	eln_comp_age
93	final_component_DNMT3A_IDH1_2	0.681765323427279	0.681765323427279	Lasso	eln_comp_age
94	final_component_DNMT3A_IDH1_2	0.681765323427279	0.681765323427279	Lasso	eln_comp_age
95	final_component_DNMT3A_IDH1_2	0.681765323427279	0.681765323427279	Lasso	eln_comp_age
96	final_component_DNMT3A_IDH1_2	0.681765323427279	0.681765323427279	Lasso	eln_comp_age
97	final_component_inv_3	0.681765323427279	0.681765323427279	Lasso	eln_comp_age
98	final_component_inv_3	0.681765323427279	0.681765323427279	Lasso	eln_comp_age
99	final_component_inv_3	0.681765323427279	0.681765323427279	Lasso	eln_comp_age
100	final_component_inv_3	0.681765323427279	0.681765323427279	Lasso	eln_comp_age
101	final_component_KIT_NRAS	0.681765323427279	0.681765323427279	Lasso	eln_comp_age
102	final_component_KIT_NRAS	0.681765323427279	0.681765323427279	Lasso	eln_comp_age
103	final_component_KIT_NRAS	0.681765323427279	0.681765323427279	Lasso	eln_comp_age
104	final_component_KIT_NRAS	0.681765323427279	0.681765323427279	Lasso	eln_comp_age
105	final_component_not_assigned	0.681765323427279	0.681765323427279	Lasso	eln_comp_age
106	final_component_not_assigned	0.681765323427279	0.681765323427279	Lasso	eln_comp_age
107	final_component_not_assigned	0.681765323427279	0.681765323427279	Lasso	eln_comp_age
108	final_component_not_assigned	0.681765323427279	0.681765323427279	Lasso	eln_comp_age
109	final_component_NPM1	0.681765323427279	0.681765323427279	Lasso	eln_comp_age
