feature	ref_CI	permuted_CI	algo	model
1	ASXL1	0.703913589470505	0.703714889761401	Lasso	gen_demo
2	ASXL1	0.703913589470505	0.702737287192612	Lasso	gen_demo
3	ASXL1	0.703913589470505	0.703428762180292	Lasso	gen_demo
4	ASXL1	0.703913589470505	0.704064601249424	Lasso	gen_demo
5	BCOR	0.703913589470505	0.703913589470505	Lasso	gen_demo
6	BCOR	0.703913589470505	0.703913589470505	Lasso	gen_demo
7	BCOR	0.703913589470505	0.703913589470505	Lasso	gen_demo
8	BCOR	0.703913589470505	0.703913589470505	Lasso	gen_demo
9	CBL	0.703913589470505	0.703913589470505	Lasso	gen_demo
10	CBL	0.703913589470505	0.703913589470505	Lasso	gen_demo
11	CBL	0.703913589470505	0.703913589470505	Lasso	gen_demo
12	CBL	0.703913589470505	0.703913589470505	Lasso	gen_demo
13	CEBPA_bi	0.703913589470505	0.703913589470505	Lasso	gen_demo
14	CEBPA_bi	0.703913589470505	0.703913589470505	Lasso	gen_demo
15	CEBPA_bi	0.703913589470505	0.703913589470505	Lasso	gen_demo
16	CEBPA_bi	0.703913589470505	0.703913589470505	Lasso	gen_demo
17	CEBPA_mono	0.703913589470505	0.703913589470505	Lasso	gen_demo
18	CEBPA_mono	0.703913589470505	0.703913589470505	Lasso	gen_demo
19	CEBPA_mono	0.703913589470505	0.703913589470505	Lasso	gen_demo
20	CEBPA_mono	0.703913589470505	0.703913589470505	Lasso	gen_demo
21	DNMT3A	0.703913589470505	0.703913589470505	Lasso	gen_demo
22	DNMT3A	0.703913589470505	0.703913589470505	Lasso	gen_demo
23	DNMT3A	0.703913589470505	0.703913589470505	Lasso	gen_demo
24	DNMT3A	0.703913589470505	0.703913589470505	Lasso	gen_demo
25	EZH2	0.703913589470505	0.703913589470505	Lasso	gen_demo
26	EZH2	0.703913589470505	0.703913589470505	Lasso	gen_demo
27	EZH2	0.703913589470505	0.703913589470505	Lasso	gen_demo
28	EZH2	0.703913589470505	0.703913589470505	Lasso	gen_demo
29	ITD	0.703913589470505	0.701107949577962	Lasso	gen_demo
30	ITD	0.703913589470505	0.702633963343878	Lasso	gen_demo
31	ITD	0.703913589470505	0.699971387241889	Lasso	gen_demo
32	ITD	0.703913589470505	0.701863008472556	Lasso	gen_demo
33	FLT3_TKD	0.703913589470505	0.703913589470505	Lasso	gen_demo
34	FLT3_TKD	0.703913589470505	0.703913589470505	Lasso	gen_demo
