feature	coef	n
1	full_component_CEBPA_bi	-64.3392713666067	100
2	full_component_DNMT3A_IDH1_2	-27.5517953368915	100
3	full_component_NPM1	-47.4421927780623	100
4	full_component_TP53_complex	83.5773473064843	100
5	full_component_WT1	14.1457804303413	100
6	full_component_additions	-11.8616814971661	100
7	full_component_chr_splicing_1	-15.9632944871149	100
8	full_component_chr_splicing_multiple	29.8538456960744	100
9	full_component_inv_16	-135.975336232829	100
10	full_component_inv_3	44.1291609901463	100
11	full_component_no_events	-71.4662576029779	100
12	full_component_not_assigned	-36.8355937923184	100
13	full_component_t_11	-25.1827785850848	100
14	full_component_t_15_17	-144.091350677024	100
15	full_component_t_6_9	-14.3901064053831	100
16	full_component_t_8_21	-123.958563372053	100
17	overlap	16.3634307447735	100
