feature	coef	n
1	age	3.69367878873132	100
2	full_component_CEBPA_bi	-42.3770364480011	100
3	full_component_DNMT3A_IDH1_2	-24.7196773017014	100
4	full_component_NPM1	-54.0866833176674	100
5	full_component_TP53_complex	67.969411599108	100
6	full_component_WT1	36.2278653375431	100
7	full_component_additions	-9.50319274711017	100
8	full_component_chr_splicing_1	-31.6638743893484	100
9	full_component_chr_splicing_multiple	-0.994442120819218	100
10	full_component_inv_16	-106.306504807332	100
11	full_component_inv_3	53.634707360384	100
12	full_component_no_events	-88.755146926149	100
13	full_component_not_assigned	-30.8597744373418	100
14	full_component_t_11	-6.38894652333603	100
15	full_component_t_15_17	-123.585326691709	100
16	full_component_t_6_9	19.4652002566697	100
17	full_component_t_8_21	-99.5627976204583	100
18	gender	4.95126656910902	100
19	overlap	18.2104502885762	100
