feature	coef	n
1	ASXL1	25.6512274732166	100
2	BCOR	3.22036336620547	100
3	CBL	7.96910896740706	100
4	CEBPA_bi	-23.6912399428558	100
5	CEBPA_mono	-4.76579217638492	100
6	DNMT3A	13.2650751753302	100
7	EZH2	25.9162039415607	100
8	FLT3_TKD	-4.52959727170907	100
9	FLT3_other	7.82344133607857	100
10	GATA2	-19.1530466733059	100
11	IDH1	-8.03913096106116	100
12	IDH2_p.R140	3.35039234686972	100
13	IDH2_p.R172	-32.0162721927392	100
14	ITD	22.8308540725372	100
15	KIT	-6.59235573250514	100
16	KRAS	19.0646964163047	100
17	MLL	15.628537593593	100
18	MYC	-32.6792548443225	100
19	NF1	4.72305061815519	100
20	NRAS_p.G12_13	5.40289739247691	100
21	NRAS_p.Q61_62	31.5959157801726	100
22	PHF6	-3.6216957417457	100
23	PTPN11	-14.5607704453286	100
24	RAD21	-20.8499171199645	100
25	RUNX1	5.64587266219194	100
26	SF3B1	26.3206968801612	100
27	SMC1A	16.1506585003694	100
28	SMC3	-1.69900528187955	100
29	SRSF2	23.355563036727	100
30	STAG2	-2.24979584318376	100
31	TET2	23.4854350988045	100
32	TP53	73.7720880639397	100
33	U2AF1_p.S34	23.5632547040366	100
34	WT1	13.961821853001	100
35	full_component_CEBPA_bi	-8.63795742660329	100
36	full_component_DNMT3A_IDH1_2	1.59045217142928	100
37	full_component_NPM1	-27.1871932435845	100
38	full_component_TP53_complex	58.7924665348475	100
39	full_component_WT1	25.9472368044481	100
40	full_component_additions	12.3520678458578	100
41	full_component_chr_splicing_1	-1.68958581119782	100
42	full_component_chr_splicing_multiple	20.6790581303573	100
43	full_component_inv_16	-92.2672681557059	100
44	full_component_inv_3	80.1678695012325	100
45	full_component_no_events	-31.2774418495858	100
46	full_component_not_assigned	-4.56433465710869	100
47	full_component_t_11	-0.163669208982302	100
48	full_component_t_15_17	-121.06194872457	100
49	full_component_t_6_9	10.5222852301867	100
50	full_component_t_8_21	-78.4740848759866	100
51	overlap	-6.47865788523694	100
