feature	coef	n
1	ASXL1	14.4167515909742	88
2	BCOR	8.02150625238682	65
3	CBL	3.94725175851338	55
4	CEBPA_bi	-7.48367771771603	57
5	CEBPA_mono	-5.60579843866622	54
6	DNMT3A	8.42168994014795	83
7	EZH2	7.55114400793965	60
8	FLT3_TKD	-4.98404803241829	65
9	FLT3_other	3.24974240352407	50
10	GATA2	-18.8843626353768	89
11	IDH1	-2.56479763710751	48
12	IDH2_p.R140	0.838526100820689	42
13	IDH2_p.R172	-26.9350868629926	86
14	ITD	15.9796819813001	97
15	KIT	2.27831808156972	33
16	KRAS	9.73707434921742	77
17	MLL	9.06320335179726	77
18	MYC	-8.07253178832447	51
19	NF1	5.56149894708716	44
20	NRAS_p.G12_13	5.2579155864272	66
21	NRAS_p.Q61_62	26.8390760078443	90
22	PHF6	1.26260976571521	45
23	PTPN11	-6.28942201863491	65
24	RAD21	-1.13402799904562	45
25	RUNX1	1.12937199672062	43
26	SF3B1	2.71663986606254	44
27	SMC1A	3.30267850258578	58
28	SMC3	1.44538735669672	37
29	SRSF2	0.63555473754645	28
30	STAG2	-1.64201931995268	45
31	TET2	3.57701745167673	56
32	TP53	43.9240194710104	100
33	U2AF1_p.S34	6.19645360941233	62
34	WT1	23.3765977131796	86
35	add_11	17.606038490076	84
36	add_13	9.95703564155129	62
37	add_21	2.46596570426018	40
38	add_22	-18.7421350212371	77
39	add_8	-1.82142683288885	39
40	age	3.29400003630214	100
41	ahd	-33.8007118310859	100
42	bm_blasts	0.109099147682624	72
43	complex	1.81158412565557	19
44	del_12	8.62475568298793	58
45	del_16	1.67747199386499	40
46	del_17	16.9195613142709	86
47	del_18	-12.2478649483716	59
48	del_20	2.08254912632356	48
49	del_3	-4.15603157232514	46
50	del_5	15.4522032133795	82
51	del_7	14.8740065354586	92
52	del_9	7.1381931475031	49
53	full_component_CEBPA_bi	-2.13661851597239	29
54	full_component_DNMT3A_IDH1_2	-0.243899016998205	31
55	full_component_NPM1	-36.9535998632209	99
56	full_component_TP53_complex	40.1676807321863	100
57	full_component_WT1	23.8612038414571	83
58	full_component_additions	7.43028509466586	64
59	full_component_chr_splicing_1	-3.67059956791185	45
60	full_component_chr_splicing_multiple	12.7787781199539	88
61	full_component_inv_16	-31.8593788695422	82
62	full_component_inv_3	71.9528362885066	96
63	full_component_no_events	-39.7276696030913	99
64	full_component_not_assigned	0.166574526503875	31
65	full_component_t_11	0.42845016742606	42
66	full_component_t_15_17	-99.3259674237595	100
67	full_component_t_6_9	37.5784770099818	83
68	full_component_t_8_21	-21.3405568355508	74
69	gender	2.46371185421781	53
70	hb	-0.00222452600926202	48
71	inv_16	-52.8926511639516	92
72	minusy	-3.09527471182577	44
73	others_transloc	11.9038303667071	65
74	overlap	1.88953356897633	36
75	perf_status	21.236777679887	100
76	plt	-0.0218288848815288	71
77	secondary	2.26204858961214	52
78	t_8_21	-44.1019205829655	100
79	t_v_11	18.2049890704247	73
80	wbc	0.181419872353841	99
