feature	coef	n
1	add_11	32.8353176375467	99
2	add_13	12.3145601397844	65
3	add_21	3.05042336890291	53
4	add_22	-10.8193982654876	57
5	add_8	5.7479011037266	62
6	age	3.24937321833304	100
7	ahd	-43.6710485964678	100
8	bm_blasts	0.0136437128671582	42
9	complex	30.2518837392591	99
10	del_12	9.00726187647452	65
11	del_16	3.82200510266134	47
12	del_17	30.8258527834982	93
13	del_18	-9.1551930372928	51
14	del_20	5.09090401557487	59
15	del_3	-2.2655695977526	42
16	del_5	38.0501960200123	98
17	del_7	33.8770816047475	100
18	del_9	6.83735679085872	45
19	gender	7.105228139518	84
20	hb	-0.0137283069932985	48
21	inv_16	-73.9475849895221	100
22	minusy	-1.09526176048567	40
23	others_transloc	13.4696551884845	68
24	perf_status	21.7632110270289	100
25	plt	-0.0219349598224218	68
26	secondary	5.82172930238008	87
27	t_8_21	-58.825896468712	100
28	t_v_11	31.8605458522354	91
29	wbc	0.179817765162346	99
