feature	coef	n
1	eln_2017_adverse	13.7998132971436	91
2	eln_2017_favorable	-21.566216504975	87
3	eln_2017_intermediate	-0.370498063201867	10
4	full_component_CEBPA_bi	-27.4369453693684	77
5	full_component_DNMT3A_IDH1_2	-14.0750405929774	78
6	full_component_NPM1	-12.6280417234454	50
7	full_component_TP53_complex	83.5603295455649	100
8	full_component_WT1	24.6647675596883	94
9	full_component_additions	-0.622910676098027	62
10	full_component_chr_splicing_1	-7.90976275273982	59
11	full_component_chr_splicing_multiple	32.1886512992294	99
12	full_component_inv_16	-102.871559882898	100
13	full_component_inv_3	52.5444029651548	98
14	full_component_no_events	-54.442760049259	99
15	full_component_not_assigned	-22.2986901203848	93
16	full_component_t_11	-10.6889686468098	78
17	full_component_t_15_17	-175.479608039254	100
18	full_component_t_6_9	-8.95174266426553	74
19	full_component_t_8_21	-87.5950371331568	100
20	overlap	3.74416487383422	57
