feature	coef	n
1	eln_2017_adverse	-2.59993290885232	100
2	eln_2017_favorable	-46.504158074571	100
3	eln_2017_intermediate	-19.0178569389336	100
4	full_component_CEBPA_bi	-32.5598679792284	100
5	full_component_DNMT3A_IDH1_2	-24.2692953243316	100
6	full_component_NPM1	-16.0553185815265	100
7	full_component_TP53_complex	73.0288052211391	100
8	full_component_WT1	16.8172374729991	100
9	full_component_additions	-7.65583397568069	100
10	full_component_chr_splicing_1	-18.1026941478327	100
11	full_component_chr_splicing_multiple	23.6213829655916	100
12	full_component_inv_16	-101.491084743177	100
13	full_component_inv_3	35.8710555594301	100
14	full_component_no_events	-62.6596105355257	100
15	full_component_not_assigned	-33.910927342731	100
16	full_component_t_11	-19.6678424143114	100
17	full_component_t_15_17	-122.43771399419	100
18	full_component_t_6_9	-19.7808209953243	100
19	full_component_t_8_21	-88.5777256542766	100
20	overlap	11.8058829089534	100
