feature	coef	n
1	add_11	0.325896775755735	60
2	add_13	0.0308317101281282	11
3	add_21	0.00915069375410408	4
4	add_22	-0.0679493206987056	19
5	add_8	-0.00567079143745745	1
6	ahd	-3.20014786952942	100
7	bm_blasts	0.184311724669103	1
8	complex	0.0277019080295001	3
9	del_12	0.085933295980426	19
10	del_16	0.0159179412646049	6
11	del_17	0.897673034105554	90
12	del_18	-0.00446306759697277	3
13	del_20	0.0497466910284182	12
14	del_3	0.0156297253046436	8
15	del_5	1.56234093995722	95
16	del_7	0.505134954746171	64
17	del_9	-0.00290067422172565	5
18	eln_2017_adverse	7.73835342018459	100
19	eln_2017_favorable	-4.03112861634264	95
20	full_component_CEBPA_bi	-0.0105225887195627	3
21	full_component_DNMT3A_IDH1_2	-0.00774293398946968	3
22	full_component_TP53_complex	3.79977376316156	100
23	full_component_WT1	0.340400641115912	67
24	full_component_additions	0.13772547228409	23
25	full_component_chr_splicing_1	-0.00811127823511507	4
26	full_component_chr_splicing_multiple	3.3092959158416	99
27	full_component_inv_16	-0.424893394184432	34
28	full_component_inv_3	0.110404761410816	51
29	full_component_no_events	-0.120412674260343	37
30	full_component_not_assigned	-0.0144488842771012	5
31	full_component_t_11	0.000692991447161859	4
32	full_component_t_15_17	-0.483968621748732	95
33	full_component_t_6_9	-0.00271305723759192	5
34	full_component_t_8_21	-0.675064081175614	51
35	hb	-3.42605199755765	12
36	inv_16	-1.81796570468803	95
37	minusy	0.00616212564791588	2
38	others_transloc	0.0135447155727956	12
39	overlap	0.235061023238788	32
40	perf_status	12.9950083226798	100
41	plt	-57.4286366621665	27
42	secondary	1.5919664963068	83
43	t_8_21	-0.826598332959645	46
44	t_v_11	-0.00110217595624597	1
45	wbc	430.214084477109	98
