feature	coef	n
1	add_11	25.0102942756988	93
2	add_13	5.21681069802266	43
3	add_21	3.70946807468909	43
4	add_22	-17.2782800448833	78
5	add_8	-1.09686868061261	38
6	ahd	-48.317527644719	100
7	bm_blasts	0.0625686118654891	58
8	complex	-1.00142732761451	13
9	del_12	6.43125470704432	54
10	del_16	3.39249863585038	50
11	del_17	39.591693085795	99
12	del_18	-14.6932329761141	66
13	del_20	5.74284987316157	58
14	del_3	-0.0266588913355648	49
15	del_5	35.9220120652161	99
16	del_7	15.7607635495087	86
17	del_9	0.161409442681725	54
18	eln_2017_adverse	11.7833134749951	82
19	eln_2017_favorable	-20.725936843362	88
20	eln_2017_intermediate	0.0366166467962941	7
21	full_component_CEBPA_bi	-11.5968637817151	59
22	full_component_DNMT3A_IDH1_2	-0.541831140425406	44
23	full_component_NPM1	-6.17295091858904	42
24	full_component_TP53_complex	50.1837469227354	100
25	full_component_WT1	27.8627180085471	94
26	full_component_additions	5.30822641970995	59
27	full_component_chr_splicing_1	0.714581070418282	36
28	full_component_chr_splicing_multiple	33.9433310982528	100
29	full_component_inv_16	-28.0633720556998	74
30	full_component_inv_3	42.6087961211502	90
31	full_component_no_events	-26.4916943668014	89
32	full_component_not_assigned	-6.0598673330275	57
33	full_component_t_11	-1.83499153596449	47
34	full_component_t_15_17	-113.644318741444	99
35	full_component_t_6_9	4.27578606050304	59
36	full_component_t_8_21	-19.3165192111873	65
37	hb	-0.0525035508495911	61
38	inv_16	-61.5852534096937	96
39	minusy	5.57114207665983	48
40	others_transloc	3.90933085121524	55
41	overlap	3.51325665421679	53
42	perf_status	27.4474556047978	100
43	plt	-0.0363808076692597	80
44	secondary	9.08580018671168	94
45	t_8_21	-46.6042437067878	100
46	t_v_11	0.192705732894214	49
47	wbc	0.192660819302688	99
