feature	coef	n
1	age	3.70517921034275	100
2	eln_2017_adverse	7.89398266286807	100
3	eln_2017_favorable	-43.7542273798698	100
4	eln_2017_intermediate	-6.67227508676128	100
5	full_component_CEBPA_bi	-6.2784787479478	100
6	full_component_DNMT3A_IDH1_2	-22.4791541937966	100
7	full_component_NPM1	-16.6164655927671	100
8	full_component_TP53_complex	56.0819532945008	100
9	full_component_WT1	36.1649294776793	100
10	full_component_additions	-5.85365748558046	100
11	full_component_chr_splicing_1	-34.4352945723217	100
12	full_component_chr_splicing_multiple	-8.00047779198888	100
13	full_component_inv_16	-68.6559622248438	100
14	full_component_inv_3	43.5452218156067	100
15	full_component_no_events	-80.336622137391	100
16	full_component_not_assigned	-30.2270979831846	100
17	full_component_t_11	-2.92230105895897	100
18	full_component_t_15_17	-103.372975590483	100
19	full_component_t_6_9	10.9864625471014	100
20	full_component_t_8_21	-59.6634061664314	100
21	gender	5.12359376639243	100
22	overlap	13.8619280102472	100
