feature	coef	n
1	ASXL1	20.4477263104361	89
2	BCOR	1.13969487924053	58
3	CBL	6.3442424064736	63
4	CEBPA_bi	-12.9830995388127	71
5	CEBPA_mono	-3.7994568450673	63
6	DNMT3A	11.9878982900936	92
7	EZH2	22.9779692251165	92
8	FLT3_TKD	-1.62728275434173	61
9	FLT3_other	6.17280846930085	65
10	GATA2	-14.7795684764102	86
11	IDH1	-6.15095399642236	76
12	IDH2_p.R140	4.63081285079162	61
13	IDH2_p.R172	-29.7456650210101	84
14	ITD	22.8726288491664	100
15	KIT	-0.824461400695441	49
16	KRAS	16.805625108415	87
17	MLL	8.20786024798	63
18	MYC	-26.340247194035	82
19	NF1	3.96364845911508	56
20	NRAS_p.G12_13	4.80500832239668	66
21	NRAS_p.Q61_62	32.3166123747489	95
22	PHF6	-2.54585487750262	62
23	PTPN11	-11.2348449156215	85
24	RAD21	-18.56532994752	88
25	RUNX1	1.27229229311858	52
26	SF3B1	21.246687897463	88
27	SMC1A	14.8941023897435	78
28	SMC3	-0.0884185651966473	57
29	SRSF2	21.5947971025002	99
30	STAG2	-1.68151405514727	66
31	TET2	24.3755883754498	100
32	TP53	76.3857200848073	100
33	U2AF1_p.S34	19.6207129175959	90
34	WT1	12.5338317199833	69
35	eln_2017_adverse	13.1661592629879	86
36	eln_2017_favorable	-18.5963879274076	81
37	eln_2017_intermediate	0.103021296980833	4
38	full_component_CEBPA_bi	-2.05869096382494	41
39	full_component_DNMT3A_IDH1_2	-2.19167859313739	51
40	full_component_NPM1	-14.9522768737617	63
41	full_component_TP53_complex	46.9624488355227	100
42	full_component_WT1	20.0721487469898	84
43	full_component_additions	6.16135411549421	72
44	full_component_chr_splicing_1	-6.00298202967475	56
45	full_component_chr_splicing_multiple	15.7977019082427	87
46	full_component_inv_16	-90.075157636764	100
47	full_component_inv_3	67.3716799961192	99
48	full_component_no_events	-29.6527284826808	94
49	full_component_not_assigned	-8.40512849842203	64
50	full_component_t_11	-2.32274283554352	67
51	full_component_t_15_17	-135.602903071362	100
52	full_component_t_6_9	-2.99780833545337	59
53	full_component_t_8_21	-72.3647651953591	100
54	overlap	-3.80872382542717	48
