feature	coef	n
1	ASXL1	0.110907274609649	19
2	BCOR	0.0336799491945283	7
3	CBL	0.00318665728460438	2
4	CEBPA_bi	-0.00366266092073273	2
5	CEBPA_mono	-0.00667352680605422	2
6	DNMT3A	0.276350418576258	33
7	EZH2	0.0515556164631444	15
8	FLT3_TKD	-0.0447452389071737	10
9	FLT3_other	0.00151748511601171	1
10	GATA2	-0.0171225153789275	9
11	IDH1	-0.0189329692236116	4
12	IDH2_p.R140	0.0930637049348568	15
13	IDH2_p.R172	-0.10929109810365	30
14	ITD	0.42198164213633	39
15	KIT	-0.00783219764495972	2
16	KRAS	0.0545014370564709	11
17	MLL	0.0121739961308726	2
18	MYC	-0.0343682028422344	14
19	NF1	0.00176439422236131	2
20	NRAS_p.Q61_62	0.0847395607431198	23
21	PHF6	-0.00379727233240726	2
22	PTPN11	-0.0482692389977792	10
23	RAD21	-0.0420986754008936	13
24	RUNX1	0.0104554195521074	3
25	SF3B1	0.0752819742048307	23
26	SMC1A	0.0135439757140807	5
27	SMC3	-0.00221534251255543	1
28	SRSF2	0.385815574847558	43
29	STAG2	0.00642951823045496	3
30	TET2	1.60339914850669	92
31	TP53	3.82060281830192	100
32	U2AF1_p.S34	0.049542343874659	19
33	WT1	0.138251656268386	24
34	add_11	0.216307267272736	40
35	add_13	0.0325051640539586	12
36	add_21	0.00869354681418005	3
37	add_22	-0.0805768859288287	24
38	add_8	-0.00177296333370984	1
39	ahd	-3.05082425482718	100
40	bm_blasts	0.195865000956815	1
41	complex	0.100083935282867	14
42	del_12	0.0867887402791498	22
43	del_16	0.00935648987063576	5
44	del_17	0.507202831738705	73
45	del_18	-0.00951785409370886	3
46	del_20	0.0452960686386872	14
47	del_3	0.00189853447130684	2
48	del_5	0.809327273715905	72
49	del_7	0.393278095385327	52
50	del_9	0.00215025414595674	2
51	eln_2017_adverse	7.56932324336247	99
52	eln_2017_favorable	-4.3856333998324	97
53	full_component_CEBPA_bi	-0.00525200337690435	2
54	full_component_TP53_complex	1.3866259892554	73
55	full_component_WT1	0.242352268831339	55
56	full_component_additions	0.126108717051262	22
57	full_component_chr_splicing_1	-0.00814817948746325	2
58	full_component_chr_splicing_multiple	2.79923582468794	98
59	full_component_inv_16	-0.36128564161731	36
60	full_component_inv_3	0.107946842322351	51
61	full_component_no_events	-0.0773707793171523	27
62	full_component_not_assigned	-0.00578336111746002	1
63	full_component_t_11	-0.00388371490696999	4
64	full_component_t_15_17	-0.373890258387116	87
65	full_component_t_6_9	-0.00094371132663775	2
66	full_component_t_8_21	-0.539555115243195	47
67	gender	0.0256427685019832	4
68	hb	-1.4828006006319	4
69	inv_16	-1.50651628638196	95
70	minusy	0.00418678964360847	1
71	others_transloc	0.0121692943308831	6
72	overlap	0.135339798673055	18
73	perf_status	12.3254686340945	100
74	plt	-31.9939935077555	18
75	secondary	1.24530652948018	73
76	t_8_21	-0.711682339603809	46
77	t_v_11	-0.00110354622213638	1
78	wbc	397.920629382612	97
