feature	coef	n
1	ASXL1	14.1007994848654	100
2	BCOR	10.7048612556628	100
3	CBL	9.34714308935707	100
4	CEBPA_bi	-0.607043426406855	100
5	CEBPA_mono	-1.9396648880118	100
6	DNMT3A	15.5684594582558	100
7	EZH2	15.4457771807757	100
8	FLT3_TKD	-4.65831425943647	100
9	FLT3_other	4.63408356514435	100
10	GATA2	-12.2835638330226	100
11	IDH1	0.409680889773563	100
12	IDH2_p.R140	13.7448551960067	100
13	IDH2_p.R172	-10.913780499497	100
14	ITD	13.0665833698051	100
15	KIT	-0.503659861227619	100
16	KRAS	10.5733667509519	100
17	MLL	6.89071926991506	100
18	MYC	-11.325414911735	100
19	NF1	-0.982926395392986	100
20	NRAS_p.G12_13	3.80146744891545	100
21	NRAS_p.Q61_62	24.1876806947615	100
22	PHF6	5.24367240325103	100
23	PTPN11	-5.72635802655195	100
24	RAD21	-7.20237263839991	100
25	RUNX1	0.492261108105747	100
26	SF3B1	22.5178691356123	100
27	SMC1A	11.9333583282911	100
28	SMC3	7.86302393302186	100
29	SRSF2	15.9284968346245	100
30	STAG2	1.8139990016269	100
31	TET2	24.2454526612284	100
32	TP53	46.0438914056276	100
33	U2AF1_p.S34	17.9607026392884	100
34	WT1	19.4670337941984	100
35	add_11	19.5037387407341	100
36	add_13	6.20017200747834	100
37	add_21	3.11651517168168	100
38	add_22	-19.7965989538434	100
39	add_8	-5.27647153050306	100
40	ahd	-38.4756515500805	100
41	bm_blasts	0.127300024526633	100
42	complex	8.3680812234458	100
43	del_12	11.2695432047823	100
44	del_16	2.6027671936359	100
45	del_17	26.0904335303021	100
46	del_18	-12.3939750363864	100
47	del_20	6.53701722390961	100
48	del_3	-2.43048250429631	100
49	del_5	29.9630210865179	100
50	del_7	18.9713890578964	100
51	del_9	4.99267648263096	100
52	eln_2017_adverse	22.4197426045792	100
53	eln_2017_favorable	-17.8423942662421	100
54	eln_2017_intermediate	9.8392791204122	100
55	full_component_CEBPA_bi	2.02158554883196	100
56	full_component_DNMT3A_IDH1_2	0.244433637355697	100
57	full_component_NPM1	-3.76460657554455	100
58	full_component_TP53_complex	32.0300876187622	100
59	full_component_WT1	19.5047967553864	100
60	full_component_additions	13.719605387851	100
61	full_component_chr_splicing_1	2.02662576669635	100
62	full_component_chr_splicing_multiple	22.6129746664303	100
63	full_component_inv_16	-27.2544471112153	100
64	full_component_inv_3	30.5294149011478	100
65	full_component_no_events	-5.65783914546437	100
66	full_component_not_assigned	3.35343508852849	100
67	full_component_t_11	4.90882941418976	100
68	full_component_t_15_17	-28.6130760892816	100
69	full_component_t_6_9	8.70674067523729	100
70	full_component_t_8_21	-20.2464038101845	100
71	gender	2.25183432563067	100
72	hb	-0.0614876522113331	100
73	inv_16	-31.7530027869652	100
74	minusy	9.19270746978262	100
75	others_transloc	9.49389572454516	100
76	overlap	-3.23619407748966	100
77	perf_status	28.1918112477287	100
78	plt	-0.0382723196209257	100
79	secondary	12.7325545112601	100
80	t_8_21	-22.3146255282489	100
81	t_v_11	1.63751545709389	100
82	wbc	0.207347781662008	100
