feature	coef	n
1	full_component_CEBPA_bi	-60.0752967482933	100
2	full_component_CEBPA_bi_ITD	186.467297783875	80
3	full_component_DNMT3A_IDH1_2	-20.0830070978307	100
4	full_component_DNMT3A_IDH1_2_ITD	56.2504234787218	100
5	full_component_NPM1	-40.8282306461116	100
6	full_component_NPM1_ITD	-18.1532417370728	100
7	full_component_TP53_complex	79.1426970069761	100
8	full_component_WT1	2.57346623095046	100
9	full_component_WT1_ITD	59.8353613349139	100
10	full_component_additions	13.9174074621247	100
11	full_component_chr_splicing_1	-2.94026478868057	100
12	full_component_chr_splicing_multiple	40.4520949249225	100
13	full_component_inv_16	-119.11118299685	100
14	full_component_inv_3	68.4760698268035	100
15	full_component_no_events	-57.6730565965899	100
16	full_component_not_assigned	-34.0896821140841	100
17	full_component_not_assigned_ITD	29.0319913986423	100
18	full_component_t_11	-12.2653010386087	100
19	full_component_t_15_17	-162.553891646521	100
20	full_component_t_6_9	-49.8290046522395	100
21	full_component_t_6_9_ITD	37.9834558768708	100
22	full_component_t_8_21	-113.997379690026	100
23	full_component_t_8_21_ITD	12.6341274272466	94
24	overlap	3.9324401680539	100
