feature	coef	n
1	ahd	-49.1753077703311	100
2	bm_blasts	0.0480583936734213	100
3	full_component_CEBPA_bi	-53.1827422973607	100
4	full_component_CEBPA_bi_ITD	29.5687249049395	100
5	full_component_DNMT3A_IDH1_2	-13.2426632962944	100
6	full_component_DNMT3A_IDH1_2_ITD	39.7282673725502	100
7	full_component_NPM1	-45.5593107450265	100
8	full_component_NPM1_ITD	-34.4884634383233	100
9	full_component_TP53_complex	74.6877823815417	100
10	full_component_WT1	7.41524960580411	100
11	full_component_WT1_ITD	32.8318773826737	100
12	full_component_additions	3.83508586807805	100
13	full_component_chr_splicing_1	-2.60366869048006	100
14	full_component_chr_splicing_multiple	31.41057513581	100
15	full_component_inv_16	-127.18187627631	100
16	full_component_inv_3	52.2347204359714	100
17	full_component_no_events	-47.8550516518082	100
18	full_component_not_assigned	-27.2644626801441	100
19	full_component_not_assigned_ITD	12.1322876447423	100
20	full_component_t_11	-16.7393628465271	100
21	full_component_t_15_17	-103.153609742362	100
22	full_component_t_6_9	-21.7370072156285	100
23	full_component_t_6_9_ITD	24.2767797616443	100
24	full_component_t_8_21	-108.939958664686	100
25	full_component_t_8_21_ITD	2.0687460394622	100
26	hb	-0.0681985344862813	100
27	overlap	9.71570100857295	100
28	perf_status	29.7731065741594	100
29	plt	-0.0618159905572024	100
30	secondary	11.8563367987234	100
31	wbc	0.173288126450022	100
