feature	coef	n
1	add_11	27.5902353419943	100
2	add_13	-6.93408995495015	100
3	add_21	-4.09357461315601	100
4	add_22	-30.4489194539141	100
5	add_8	-13.4323873414777	100
6	complex	-8.19404850125658	100
7	del_12	8.67018769360298	100
8	del_16	15.7532784675511	100
9	del_17	35.7689551556608	100
10	del_18	-25.4365523328581	100
11	del_20	8.96097299782968	100
12	del_3	-4.54475554338244	100
13	del_5	47.9205626375922	100
14	del_7	22.3159529724148	100
15	del_9	7.85639201191509	100
16	full_component_CEBPA_bi	-40.7353781574174	100
17	full_component_CEBPA_bi_ITD	33.0248672740129	100
18	full_component_DNMT3A_IDH1_2	-17.2203344495632	100
19	full_component_DNMT3A_IDH1_2_ITD	38.4188176775534	100
20	full_component_NPM1	-25.3717515445814	100
21	full_component_NPM1_ITD	-2.06958251589419	100
22	full_component_TP53_complex	60.9408754066678	100
23	full_component_WT1	11.2607231028707	100
24	full_component_WT1_ITD	59.6887736280305	100
25	full_component_additions	29.195055085591	100
26	full_component_chr_splicing_1	7.43724233893027	100
27	full_component_chr_splicing_multiple	55.0323728410885	100
28	full_component_inv_16	-89.5527968147212	100
29	full_component_inv_3	50.8856276708533	100
30	full_component_no_events	-35.8204535945686	100
31	full_component_not_assigned	-23.154099685187	100
32	full_component_not_assigned_ITD	35.5953992439339	100
33	full_component_t_11	3.40611723251585	100
34	full_component_t_15_17	-78.2462521999719	100
35	full_component_t_6_9	-9.14237570069103	100
36	full_component_t_6_9_ITD	34.2839848953009	100
37	full_component_t_8_21	-96.5944205741931	100
38	full_component_t_8_21_ITD	10.5277576644968	100
39	minusy	10.7960044165393	100
40	others_transloc	14.9911830137963	100
41	overlap	4.69836148010201	100
