feature	coef	n
1	age	760.083385613121	100
2	full_component_CEBPA_bi	-0.0570133876200871	24
3	full_component_CEBPA_bi_ITD	0.0153026815820504	12
4	full_component_DNMT3A_IDH1_2	-0.0234975617086803	7
5	full_component_DNMT3A_IDH1_2_ITD	0.0230319082433394	21
6	full_component_NPM1	-3.34833313841319	99
7	full_component_NPM1_ITD	-0.0329858402464086	5
8	full_component_TP53_complex	7.00977356383651	100
9	full_component_WT1	0.0895699374262273	30
10	full_component_WT1_ITD	0.529595469714861	94
11	full_component_additions	0.914342800868155	79
12	full_component_chr_splicing_1	-0.00573908344655006	4
13	full_component_chr_splicing_multiple	3.70815891590286	99
14	full_component_inv_16	-1.80284833546487	100
15	full_component_inv_3	0.45931210077885	81
16	full_component_no_events	-0.604921391493175	93
17	full_component_not_assigned	-0.038861896432442	15
18	full_component_not_assigned_ITD	0.193930209818814	60
19	full_component_t_11	0.188229713017929	32
20	full_component_t_15_17	-0.465954313013172	90
21	full_component_t_6_9_ITD	0.100902623061003	54
22	full_component_t_8_21	-1.80913514131254	98
23	full_component_t_8_21_ITD	0.000892340347642774	1
24	gender	0.242865752212929	29
25	overlap	0.421586484030953	37
