feature	coef	n
1	age	3.57597148173088	100
2	full_component_CEBPA_bi	-35.587208560551	92
3	full_component_CEBPA_bi_ITD	143.245909964743	80
4	full_component_DNMT3A_IDH1_2	-15.9489500764242	81
5	full_component_DNMT3A_IDH1_2_ITD	42.5203595362437	99
6	full_component_NPM1	-48.7883355722305	100
7	full_component_NPM1_ITD	-18.2211099090114	76
8	full_component_TP53_complex	67.2180432915134	100
9	full_component_WT1	26.5972985910433	88
10	full_component_WT1_ITD	72.1192533683812	100
11	full_component_additions	9.59410949108957	84
12	full_component_chr_splicing_1	-14.9893465095516	69
13	full_component_chr_splicing_multiple	12.4875650984517	81
14	full_component_inv_16	-94.5911259526217	100
15	full_component_inv_3	78.2211791576164	100
16	full_component_no_events	-74.9406878442144	100
17	full_component_not_assigned	-28.0948465190118	90
18	full_component_not_assigned_ITD	49.6862537357635	99
19	full_component_t_11	8.87260293715526	77
20	full_component_t_15_17	-151.686181346085	100
21	full_component_t_6_9	-7.28368929240027	75
22	full_component_t_6_9_ITD	66.7070975806177	100
23	full_component_t_8_21	-93.3579654913659	100
24	full_component_t_8_21_ITD	20.9182682036615	74
25	gender	5.84058187410891	81
26	overlap	6.44112911038153	51
