feature	coef	n
1	ASXL1	18.1069130897996	100
2	BCOR	12.7606686224107	100
3	CBL	7.55653884110748	100
4	CEBPA_mono	-5.94800483451464	100
5	DNMT3A	10.4785883795038	100
6	EZH2	14.7855371489031	100
7	FLT3_TKD	-8.98083416946083	100
8	FLT3_other	4.28478618006694	100
9	GATA2	-22.2332199057085	100
10	IDH1	-5.11611235948655	100
11	IDH2_p.R140	2.10844392048634	100
12	IDH2_p.R172	-29.953605373584	100
13	ITD	5.55300310296775	100
14	KIT	2.33525554526135	100
15	KRAS	14.5610453853468	100
16	MLL	15.5347656208063	100
17	MYC	-16.6240991834456	100
18	NF1	7.40993824624944	100
19	NRAS_p.G12_13	7.87997285361465	100
20	NRAS_p.Q61_62	28.0416625981069	100
21	PHF6	4.71516142718114	100
22	PTPN11	-9.8292303025842	100
23	RAD21	-5.2252225733122	100
24	RUNX1	2.36672806270238	100
25	SF3B1	11.4675940800299	100
26	SMC1A	1.14016605785564	100
27	SMC3	5.27673911040737	100
28	SRSF2	3.76631177921441	100
29	STAG2	-2.35147980575265	100
30	TET2	8.5865314862767	100
31	TP53	47.7719554978917	100
32	U2AF1_p.S34	13.0964708029217	100
33	WT1	26.5788742085618	100
34	add_11	22.9396465337488	100
35	add_13	8.2155600063599	100
36	add_21	-3.88228446192474	100
37	add_22	-29.1360234838713	100
38	add_8	-8.98123657690156	100
39	age	2.61399975697973	100
40	ahd	-34.6396483220054	100
41	bm_blasts	0.151417856678496	100
42	complex	13.331592463278	100
43	del_12	13.0883053465916	100
44	del_16	5.54111830275601	100
45	del_17	25.9364479670281	100
46	del_18	-19.3039057033972	100
47	del_20	3.88273460022763	100
48	del_3	-9.63973793478157	100
49	del_5	26.2931613810475	100
50	del_7	18.3044814967363	100
51	del_9	12.4224862249124	100
52	full_component_CEBPA_bi	-17.0122160172105	100
53	full_component_CEBPA_bi_ITD	138.649075844076	80
54	full_component_DNMT3A_IDH1_2	2.3275910517497	100
55	full_component_DNMT3A_IDH1_2_ITD	53.9027356608552	100
56	full_component_NPM1	-24.4342550823532	100
57	full_component_NPM1_ITD	-14.5236982578407	100
58	full_component_TP53_complex	23.2061027167851	100
59	full_component_WT1	25.2279507113975	100
60	full_component_WT1_ITD	44.2392146604388	100
61	full_component_additions	24.5681553404626	100
62	full_component_chr_splicing_1	2.29947357123949	100
63	full_component_chr_splicing_multiple	18.3247037956495	100
64	full_component_inv_16	-67.8246138103469	100
65	full_component_inv_3	81.8053115548158	100
66	full_component_no_events	-32.2193342681188	100
67	full_component_not_assigned	-0.328272079259834	100
68	full_component_not_assigned_ITD	48.0129293592339	100
69	full_component_t_11	19.8734256327638	100
70	full_component_t_15_17	-90.994554094029	100
71	full_component_t_6_9	5.93029853575744	100
72	full_component_t_6_9_ITD	79.2541721786633	100
73	full_component_t_8_21	-60.3898580727244	100
74	full_component_t_8_21_ITD	43.6186572398021	94
75	gender	3.99444256052689	100
76	hb	0.00322075936481818	100
77	minusy	-4.70207141441615	100
78	others_transloc	17.9310597747583	100
79	overlap	0.656681990431628	100
80	perf_status	20.3579989385577	100
81	plt	-0.0289099933186237	100
82	secondary	6.04920141072938	100
83	wbc	0.171455510076097	100
