feature	coef	n
1	add_11	41.0555769012586	100
2	add_13	15.4747782280605	100
3	add_21	9.51771680970855	100
4	add_22	-22.9721808053921	100
5	add_8	10.6290169050229	100
6	ahd	-58.127916902205	100
7	bm_blasts	-0.0361664717998309	100
8	complex	29.2830080353895	100
9	del_12	8.76535195902414	100
10	del_16	2.45212599472204	100
11	del_17	45.6849416793694	100
12	del_18	-16.1622385997784	100
13	del_20	9.2704319887698	100
14	del_3	-7.28624160763453	100
15	del_5	47.6089069823992	100
16	del_7	38.4630124708563	100
17	del_9	1.44338754147157	100
18	hb	-0.104647551604583	100
19	inv_16	-98.3198010713131	100
20	minusy	9.61542926226419	100
21	others_transloc	3.73676427385697	100
22	perf_status	29.7948552149636	100
23	plt	-0.042131704817531	100
24	secondary	19.4445008803453	100
25	t_8_21	-82.348015346349	100
26	t_v_11	7.2314587089356	100
27	wbc	0.192212601386327	100
