feature	coef	n
1	eln_2017_adverse	15.0057800394241	94
2	eln_2017_favorable	-14.0531912074918	68
3	eln_2017_intermediate	-1.24345929157658	16
4	full_component_CEBPA_bi	-43.0770823136134	88
5	full_component_CEBPA_bi_ITD	188.871438204321	80
6	full_component_DNMT3A_IDH1_2	-20.0982625042785	83
7	full_component_DNMT3A_IDH1_2_ITD	47.6923595231558	99
8	full_component_NPM1	-26.1777326521329	89
9	full_component_NPM1_ITD	-7.16585021009466	55
10	full_component_TP53_complex	67.8814587231911	100
11	full_component_WT1	0.723777803392619	65
12	full_component_WT1_ITD	54.5671195336019	99
13	full_component_additions	10.6160309023239	88
14	full_component_chr_splicing_1	-8.82048667826177	52
15	full_component_chr_splicing_multiple	30.1687096295957	96
16	full_component_inv_16	-110.494562509003	100
17	full_component_inv_3	55.2742440546387	99
18	full_component_no_events	-53.23916085309	100
19	full_component_not_assigned	-34.0490377944673	99
20	full_component_not_assigned_ITD	21.9360858956552	88
21	full_component_t_11	-11.6805605703436	75
22	full_component_t_15_17	-169.487603604848	100
23	full_component_t_6_9	-53.81065226076	80
24	full_component_t_6_9_ITD	19.4365421265741	79
25	full_component_t_8_21	-103.241915094975	100
26	full_component_t_8_21_ITD	21.928924766022	72
27	overlap	4.69558541127006	52
