feature	coef	n
1	ahd	-46.9914937058271	100
2	bm_blasts	0.0369293563600846	100
3	eln_2017_adverse	17.9972526614809	100
4	eln_2017_favorable	-17.2280758022379	100
5	eln_2017_intermediate	-1.07262238787235	100
6	full_component_CEBPA_bi	-31.0546964331004	100
7	full_component_CEBPA_bi_ITD	191.023160548905	80
8	full_component_DNMT3A_IDH1_2	-7.46380914595453	100
9	full_component_DNMT3A_IDH1_2_ITD	64.1865741068104	100
10	full_component_NPM1	-18.3533344355504	100
11	full_component_NPM1_ITD	-10.0872931962127	100
12	full_component_TP53_complex	61.7913215158977	100
13	full_component_WT1	15.2814181456421	100
14	full_component_WT1_ITD	45.487530501573	100
15	full_component_additions	12.5484055863191	100
16	full_component_chr_splicing_1	-3.9888632927856	100
17	full_component_chr_splicing_multiple	23.6757941117428	100
18	full_component_inv_16	-98.6276253489523	100
19	full_component_inv_3	59.6625425549529	100
20	full_component_no_events	-41.0712242804149	100
21	full_component_not_assigned	-22.3385547050564	100
22	full_component_not_assigned_ITD	20.5915007712085	100
23	full_component_t_11	-7.71953590955838	100
24	full_component_t_15_17	-133.171974001867	100
25	full_component_t_6_9	-48.8403527603837	100
26	full_component_t_6_9_ITD	29.6381778049048	100
27	full_component_t_8_21	-80.6479751997464	100
28	full_component_t_8_21_ITD	40.7093972395934	94
29	hb	-0.0592345680244225	100
30	overlap	3.25946031143101	100
31	perf_status	26.8653741469151	100
32	plt	-0.0564206634738205	100
33	secondary	12.395270794954	100
34	wbc	0.155420679863363	100
